group_type,serve_number,surface,derived_period,validation_fold,classification_state,reason_code,attempts,matches,servers,returners,denominator_attempts,proportion_of_denominator
surface,0,Hard,ALL,ALL,documented_return_unforced_error,immediate_return_unforced_error_w,5063,2480,455,452,896425,0.005647990629444739
surface,0,Hard,ALL,ALL,documented_return_unforced_error,immediate_return_unforced_error_x,934,777,242,263,896425,0.0010419165016593691
surface,0,Hard,ALL,ALL,return_terminal_not_documented,challenge_after_local_return,45,43,33,36,896425,5.019940318487325e-05
surface,0,Hard,ALL,ALL,return_terminal_not_documented,local_return_without_terminal,23,21,17,22,896425,2.5657472738935215e-05
surface,0,Hard,ALL,ALL,return_terminal_not_documented,nonterminal_content_after_local_return,402456,3845,643,642,896425,0.44895668907047437
surface,0,Hard,ALL,ALL,unknown_initial_return,ambiguous_initial_boundary,8131,1225,295,305,896425,0.009070474384360098
surface,0,Hard,ALL,ALL,unknown_initial_return,inconsistent_parse_result,0,0,0,0,896425,0.0
surface,0,Hard,ALL,ALL,unknown_initial_return,missing_service_prefix,876,374,146,159,896425,0.0009772150486655326
surface,0,Hard,ALL,ALL,unknown_initial_return,terminal_with_trailing_content,18,7,7,8,896425,2.0079761273949297e-05
surface,0,Hard,ALL,ALL,unknown_initial_return,truncated_return_event,1,1,1,1,896425,1.1155422929971834e-06
surface,0,Hard,ALL,ALL,unknown_initial_return,unsupported_error_terminal_form,84491,3560,638,635,896425,0.09425328387762501
surface,0,Hard,ALL,ALL,unknown_initial_return,unsupported_initial_modifier,93,51,39,50,896425,0.00010374543324873804
surface,0,Hard,ALL,ALL,unknown_initial_return,unsupported_local_component_order,14625,2890,497,491,896425,0.016314806035083805
surface,0,Hard,ALL,ALL,ineligible_censored,censored_ace,55504,3837,614,636,896425,0.06191705943051566
surface,0,Hard,ALL,ALL,ineligible_censored,censored_double_fault,22088,3762,616,598,896425,0.024640098167721784
surface,0,Hard,ALL,ALL,ineligible_censored,censored_incomplete_let,0,0,0,0,896425,0.0
surface,0,Hard,ALL,ALL,ineligible_censored,censored_service_fault,242924,3849,642,643,896425,0.2709919959840477
surface,0,Hard,ALL,ALL,ineligible_censored,censored_special_event,6815,788,287,274,896425,0.007602420726775804
surface,0,Hard,ALL,ALL,ineligible_censored,censored_unreturned_serve,11627,1689,368,394,896425,0.01297041024067825
surface,0,Clay,ALL,ALL,documented_return_winner,immediate_return_winner,3267,1091,372,364,332878,0.009814406479250656
surface,0,Clay,ALL,ALL,documented_return_forced_error,immediate_return_forced_error,2575,701,294,320,332878,0.0077355667842272545
surface,0,Clay,ALL,ALL,documented_return_unforced_error,immediate_return_unforced_error_!,113,99,81,75,332878,0.0003394637074243416
surface,0,Clay,ALL,ALL,documented_return_unforced_error,immediate_return_unforced_error_d,3771,1218,410,402,332878,0.011328474696435331
surface,0,Clay,ALL,ALL,documented_return_unforced_error,immediate_return_unforced_error_e,4,4,4,4,332878,1.201641442210059e-05
surface,0,Clay,ALL,ALL,documented_return_unforced_error,immediate_return_unforced_error_n,2948,1108,375,387,332878,0.008856097429088135
surface,0,Clay,ALL,ALL,documented_return_unforced_error,immediate_return_unforced_error_w,1790,927,345,333,332878,0.005377345453890014
surface,0,Clay,ALL,ALL,documented_return_unforced_error,immediate_return_unforced_error_x,329,272,148,151,332878,0.0009883500862177734
surface,0,Clay,ALL,ALL,return_terminal_not_documented,challenge_after_local_return,5,5,5,4,332878,1.5020518027625736e-05
surface,0,Clay,ALL,ALL,return_terminal_not_documented,local_return_without_terminal,6,6,5,6,332878,1.8024621633150885e-05
surface,0,Clay,ALL,ALL,return_terminal_not_documented,nonterminal_content_after_local_return,167356,1429,499,498,332878,0.5027547630062665
surface,0,Clay,ALL,ALL,unknown_initial_return,ambiguous_initial_boundary,1687,360,186,186,332878,0.005067922782520924
surface,0,Clay,ALL,ALL,unknown_initial_return,inconsistent_parse_result,0,0,0,0,332878,0.0
surface,0,Clay,ALL,ALL,unknown_initial_return,missing_service_prefix,380,119,84,88,332878,0.001141559370099556
surface,0,Clay,ALL,ALL,unknown_initial_return,terminal_with_trailing_content,67,4,7,7,332878,0.00020127494157018487
surface,0,Clay,ALL,ALL,unknown_initial_return,truncated_return_event,0,0,0,0,332878,0.0
surface,0,Clay,ALL,ALL,unknown_initial_return,unsupported_error_terminal_form,26783,1353,491,491,332878,0.08045890686678002
surface,0,Clay,ALL,ALL,unknown_initial_return,unsupported_initial_modifier,29,18,14,15,332878,8.711900456022927e-05
surface,0,Clay,ALL,ALL,unknown_initial_return,unsupported_local_component_order,6639,939,334,318,332878,0.019944243837081453
surface,0,Clay,ALL,ALL,ineligible_censored,censored_ace,11919,1415,440,474,332878,0.03580591087425423
surface,0,Clay,ALL,ALL,ineligible_censored,censored_double_fault,7301,1403,465,451,332878,0.0219329604239391
surface,0,Clay,ALL,ALL,ineligible_censored,censored_incomplete_let,0,0,0,0,332878,0.0
surface,0,Clay,ALL,ALL,ineligible_censored,censored_service_fault,88836,1439,499,499,332878,0.26687254790043197
surface,0,Clay,ALL,ALL,ineligible_censored,censored_special_event,3869,315,194,201,332878,0.011622876849776795
surface,0,Clay,ALL,ALL,ineligible_censored,censored_unreturned_serve,3204,618,257,271,332878,0.009625147952102573
surface,0,Grass,ALL,ALL,documented_return_winner,immediate_return_winner,3811,622,274,261,197560,0.019290342174529258
surface,0,Grass,ALL,ALL,documented_return_forced_error,immediate_return_forced_error,3034,403,194,205,197560,0.01535735978943106
surface,0,Grass,ALL,ALL,documented_return_unforced_error,immediate_return_unforced_error_!,79,64,52,51,197560,0.00039987851791860703
surface,0,Grass,ALL,ALL,documented_return_unforced_error,immediate_return_unforced_error_d,1815,586,247,255,197560,0.009187082405345211
surface,0,Grass,ALL,ALL,documented_return_unforced_error,immediate_return_unforced_error_e,0,0,0,0,197560,0.0
surface,0,Grass,ALL,ALL,documented_return_unforced_error,immediate_return_unforced_error_n,2507,617,277,262,197560,0.012689815752176554
surface,0,Grass,ALL,ALL,documented_return_unforced_error,immediate_return_unforced_error_w,1210,492,246,221,197560,0.006124721603563474
surface,0,Grass,ALL,ALL,documented_return_unforced_error,immediate_return_unforced_error_x,217,164,104,108,197560,0.0010984004859283256
surface,0,Grass,ALL,ALL,return_terminal_not_documented,challenge_after_local_return,11,11,11,9,197560,5.5679287305122496e-05
surface,0,Grass,ALL,ALL,return_terminal_not_documented,local_return_without_terminal,7,7,7,7,197560,3.5432273739623405e-05
surface,0,Grass,ALL,ALL,return_terminal_not_documented,nonterminal_content_after_local_return,80471,703,316,316,197560,0.4073243571573193
surface,0,Grass,ALL,ALL,unknown_initial_return,ambiguous_initial_boundary,3945,278,158,173,197560,0.019968617128973475
surface,0,Grass,ALL,ALL,unknown_initial_return,inconsistent_parse_result,0,0,0,0,197560,0.0
surface,0,Grass,ALL,ALL,unknown_initial_return,missing_service_prefix,148,75,39,48,197560,0.0007491395019234663
surface,0,Grass,ALL,ALL,unknown_initial_return,terminal_with_trailing_content,1,1,1,1,197560,5.061753391374772e-06
surface,0,Grass,ALL,ALL,unknown_initial_return,truncated_return_event,0,0,0,0,197560,0.0
surface,0,Grass,ALL,ALL,unknown_initial_return,unsupported_error_terminal_form,22654,668,310,310,197560,0.11466896132820409
surface,0,Grass,ALL,ALL,unknown_initial_return,unsupported_initial_modifier,37,17,13,16,197560,0.00018728487548086659
surface,0,Grass,ALL,ALL,unknown_initial_return,unsupported_local_component_order,3163,600,257,250,197560,0.016010325976918406
surface,0,Grass,ALL,ALL,ineligible_censored,censored_ace,12826,684,302,306,197560,0.06492204899777283
surface,0,Grass,ALL,ALL,ineligible_censored,censored_double_fault,4993,683,300,294,197560,0.025273334683134238
surface,0,Grass,ALL,ALL,ineligible_censored,censored_incomplete_let,0,0,0,0,197560,0.0
surface,0,Grass,ALL,ALL,ineligible_censored,censored_service_fault,50980,703,316,315,197560,0.2580481878922859
surface,0,Grass,ALL,ALL,ineligible_censored,censored_special_event,2889,196,134,129,197560,0.014623405547681717
