column,dimension,group_value,total_rows,null_count,null_proportion,empty_count,empty_proportion,whitespace_only_count,whitespace_only_proportion,substantive_count,substantive_proportion,non_null_count,raw_length_min,raw_length_mean,raw_length_p25,raw_length_median,raw_length_p75,raw_length_p90,raw_length_p95,raw_length_p99,raw_length_max,trimmed_length_min,trimmed_length_mean,trimmed_length_p25,trimmed_length_median,trimmed_length_p75,trimmed_length_p90,trimmed_length_p95,trimmed_length_p99,trimmed_length_max
first_serve,year,2005,18839,0,0.0,0,0.0,0,0.0,18839,1.0,18839,1,7.019427782791019,2.0,4.0,10.0,16.0,22.0,34.0,98,1,7.019427782791019,2.0,4.0,10.0,16.0,22.0,34.0,98
first_serve,year,2006,23369,0,0.0,0,0.0,0,0.0,23369,1.0,23369,1,7.160255038726518,2.0,5.0,10.0,16.0,22.0,34.0,64,1,7.160169455261244,2.0,5.0,10.0,16.0,22.0,34.0,64
first_serve,year,2007,16318,0,0.0,0,0.0,0,0.0,16318,1.0,16318,1,7.642296850104179,2.0,5.0,11.0,18.0,24.0,38.0,81,1,7.642235568084324,2.0,5.0,11.0,18.0,24.0,38.0,81
first_serve,year,2008,17817,0,0.0,0,0.0,0,0.0,17817,1.0,17817,1,7.436100353594881,2.0,5.0,11.0,17.0,23.0,37.0,84,1,7.436044227423247,2.0,5.0,11.0,17.0,23.0,37.0,84
first_serve,year,2009,19292,0,0.0,0,0.0,0,0.0,19292,1.0,19292,1,7.371293800539084,2.0,5.0,10.0,17.0,24.0,38.0,94,1,7.371241965581588,2.0,5.0,10.0,17.0,24.0,38.0,94
first_serve,year,2010,17382,0,0.0,0,0.0,0,0.0,17382,1.0,17382,1,7.097169485674836,2.0,4.0,10.0,17.0,22.0,35.0,69,1,7.097169485674836,2.0,4.0,10.0,17.0,22.0,35.0,69
first_serve,year,2011,19496,0,0.0,0,0.0,0,0.0,19496,1.0,19496,1,7.77774928190398,2.0,5.0,11.0,18.0,24.0,38.0,89,1,7.777441526466967,2.0,5.0,11.0,18.0,24.0,38.0,89
first_serve,year,2012,24058,0,0.0,0,0.0,0,0.0,24058,1.0,24058,1,7.407515171668468,2.0,5.0,10.0,17.299999999999272,24.0,38.0,113,1,7.406476016293956,2.0,5.0,10.0,17.299999999999272,24.0,38.0,113
first_serve,year,2013,19555,0,0.0,0,0.0,0,0.0,19555,1.0,19555,1,7.445308105343901,2.0,5.0,10.0,17.0,23.0,38.0,88,1,7.445308105343901,2.0,5.0,10.0,17.0,23.0,38.0,88
first_serve,year,2014,27920,0,0.0,0,0.0,0,0.0,27920,1.0,27920,1,7.15852435530086,2.0,5.0,10.0,16.0,22.0,34.81000000000131,77,1,7.158094555873926,2.0,5.0,10.0,16.0,22.0,34.81000000000131,77
first_serve,year,2015,43591,0,0.0,0,0.0,0,0.0,43591,1.0,43591,1,6.805235025578675,2.0,3.0,10.0,16.0,21.0,34.0,79,1,6.805028560941479,2.0,3.0,10.0,16.0,21.0,34.0,79
first_serve,year,2016,27770,0,0.0,0,0.0,0,0.0,27770,1.0,27770,1,7.0180050414115955,2.0,4.0,10.0,16.0,22.0,36.0,116,1,7.017861001080303,2.0,4.0,10.0,16.0,22.0,36.0,116
first_serve,year,2017,37844,0,0.0,0,0.0,0,0.0,37844,1.0,37844,1,7.298065743578903,2.0,5.0,10.0,17.0,23.0,36.0,103,1,7.297537258217948,2.0,5.0,10.0,17.0,23.0,36.0,103
first_serve,year,2018,43355,0,0.0,0,0.0,0,0.0,43355,1.0,43355,1,7.174397416676277,2.0,5.0,10.0,17.0,22.0,37.0,173,1,7.174282089724368,2.0,5.0,10.0,17.0,22.0,37.0,173
first_serve,year,2019,95959,0,0.0,0,0.0,0,0.0,95959,1.0,95959,1,7.361279296366156,2.0,5.0,10.0,17.0,23.0,38.0,119,1,7.361268875248804,2.0,5.0,10.0,17.0,23.0,38.0,119
first_serve,year,2020,31107,0,0.0,0,0.0,0,0.0,31107,1.0,31107,1,7.918057028964542,2.0,5.0,11.0,19.0,26.0,45.0,125,1,7.917960587649082,2.0,5.0,11.0,19.0,26.0,45.0,125
first_serve,year,2021,60816,0,0.0,0,0.0,0,0.0,60816,1.0,60816,1,7.790334780320968,2.0,5.0,11.0,18.0,26.0,44.0,179,1,7.790252565114444,2.0,5.0,11.0,18.0,26.0,44.0,179
first_serve,year,2022,105721,0,0.0,0,0.0,0,0.0,105721,1.0,105721,1,7.7049592796133215,2.0,4.0,11.0,18.0,25.0,41.0,134,1,7.70460930184164,2.0,4.0,11.0,18.0,25.0,41.0,134
first_serve,year,2023,104702,0,0.0,0,0.0,0,0.0,104702,1.0,104702,1,7.737235200855762,2.0,5.0,11.0,18.0,25.0,43.0,138,1,7.7364424748333365,2.0,5.0,11.0,18.0,25.0,43.0,138
first_serve,year,2024,121256,0,0.0,0,0.0,0,0.0,121256,1.0,121256,1,7.4012997294979215,2.0,3.0,10.0,17.0,24.0,39.0,107,1,7.40115953025005,2.0,3.0,10.0,17.0,24.0,39.0,107
first_serve,year,2025,95305,0,0.0,0,0.0,0,0.0,95305,1.0,95305,1,7.353853417973873,2.0,4.0,10.0,17.0,23.0,38.0,107,1,7.353612087508525,2.0,4.0,10.0,17.0,23.0,38.0,107
first_serve,year,2026,28087,0,0.0,0,0.0,0,0.0,28087,1.0,28087,1,7.490084380674333,2.0,5.0,10.0,18.0,24.0,40.0,90,1,7.490084380674333,2.0,5.0,10.0,18.0,24.0,40.0,90
first_serve,derived_period,to_2009,376484,0,0.0,0,0.0,0,0.0,376484,1.0,376484,1,6.610759022959807,2.0,3.0,9.0,15.0,20.0,34.0,175,1,6.610631527501833,2.0,3.0,9.0,15.0,20.0,34.0,175
