server_player,surface,derived_period,direction_code,direction_label,tactically_actionable,points,matches,server_wins,server_win_rate,first_date,last_date
Andrea Vavassori,Clay,2020s,6,t,True,25,3,11,0.44,2022-07-31,2024-02-16
Andreas Haider Maurer,Hard,2010s,4,wide,True,16,2,8,0.5,2015-03-12,2015-09-23
Andreas Haider Maurer,Hard,2010s,5,body,True,30,2,18,0.6,2015-03-12,2015-09-23
Andreas Haider Maurer,Hard,2010s,6,t,True,20,2,8,0.4,2015-03-12,2015-09-23
Andreas Haider Maurer,Clay,2010s,4,wide,True,9,1,3,0.3333333333333333,2017-08-19,2017-08-19
Andreas Haider Maurer,Clay,2010s,5,body,True,18,1,6,0.3333333333333333,2017-08-19,2017-08-19
Andreas Haider Maurer,Clay,2010s,6,t,True,3,1,3,1.0,2017-08-19,2017-08-19
Andreas Haider Maurer,Grass,2010s,4,wide,True,23,2,9,0.391304347826087,2015-06-08,2015-06-15
Andreas Haider Maurer,Grass,2010s,5,body,True,22,2,11,0.5,2015-06-08,2015-06-15
Andreas Haider Maurer,Grass,2010s,6,t,True,15,2,8,0.5333333333333333,2015-06-08,2015-06-15
Andreas Seppi,Hard,2010s,4,wide,True,217,18,108,0.4976958525345622,2012-09-23,2019-10-14
Andreas Seppi,Hard,2010s,5,body,True,279,18,153,0.5483870967741935,2012-09-23,2019-10-14
Andreas Seppi,Hard,2010s,6,t,True,200,18,105,0.525,2012-09-23,2019-10-14
Andreas Seppi,Hard,2020s,4,wide,True,20,1,9,0.45,2021-08-31,2021-08-31
Andreas Seppi,Hard,2020s,5,body,True,24,1,12,0.5,2021-08-31,2021-08-31
Andreas Seppi,Hard,2020s,6,t,True,26,1,11,0.4230769230769231,2021-08-31,2021-08-31
Andreas Seppi,Clay,to_2009,4,wide,True,15,1,6,0.4,2008-05-17,2008-05-17
Andreas Seppi,Clay,to_2009,5,body,True,3,1,1,0.3333333333333333,2008-05-17,2008-05-17
Andreas Seppi,Clay,to_2009,6,t,True,11,1,5,0.45454545454545453,2008-05-17,2008-05-17
Andreas Seppi,Clay,2010s,4,wide,True,50,4,20,0.4,2012-04-18,2019-05-12
Andreas Seppi,Clay,2010s,5,body,True,36,5,19,0.5277777777777778,2012-04-18,2019-05-12
Andreas Seppi,Clay,2010s,6,t,True,35,5,15,0.42857142857142855,2012-04-18,2019-05-12
Andreas Seppi,Grass,2010s,4,wide,True,24,3,11,0.4583333333333333,2012-06-24,2015-06-21
Andreas Seppi,Grass,2010s,5,body,True,27,3,13,0.48148148148148145,2012-06-24,2015-06-21
Andreas Seppi,Grass,2010s,6,t,True,17,3,11,0.6470588235294118,2012-06-24,2015-06-21
Andreas Vinciguerra,Hard,to_2009,4,wide,True,8,1,1,0.125,2001-11-03,2001-11-03
Andreas Vinciguerra,Hard,to_2009,5,body,True,6,1,1,0.16666666666666666,2001-11-03,2001-11-03
Andreas Vinciguerra,Hard,to_2009,6,t,True,14,1,6,0.42857142857142855,2001-11-03,2001-11-03
Andrei Cherkasov,Hard,to_2009,4,wide,True,18,1,5,0.2777777777777778,1990-09-06,1990-09-06
Andrei Cherkasov,Hard,to_2009,5,body,True,9,1,5,0.5555555555555556,1990-09-06,1990-09-06
Andrei Cherkasov,Hard,to_2009,6,t,True,10,1,4,0.4,1990-09-06,1990-09-06
Andrei Cherkasov,Clay,to_2009,4,wide,True,11,2,7,0.6363636363636364,1991-05-27,1991-06-02
Andrei Cherkasov,Clay,to_2009,5,body,True,17,2,7,0.4117647058823529,1991-05-27,1991-06-02
Andrei Cherkasov,Clay,to_2009,6,t,True,20,2,7,0.35,1991-05-27,1991-06-02
Andrei Chesnokov,Hard,to_2009,4,wide,True,40,2,21,0.525,1991-07-27,1991-07-28
Andrei Chesnokov,Hard,to_2009,5,body,True,22,2,12,0.5454545454545454,1991-07-27,1991-07-28
Andrei Chesnokov,Hard,to_2009,6,t,True,11,2,8,0.7272727272727273,1991-07-27,1991-07-28
Andrei Chesnokov,Clay,to_2009,4,wide,True,107,6,58,0.5420560747663551,1989-04-23,1995-12-01
Andrei Chesnokov,Clay,to_2009,5,body,True,103,6,57,0.5533980582524272,1989-04-23,1995-12-01
Andrei Chesnokov,Clay,to_2009,6,t,True,53,5,29,0.5471698113207547,1990-04-29,1995-12-01
Andrei Chesnokov,Grass,to_2009,4,wide,True,27,1,13,0.48148148148148145,1992-06-23,1992-06-23
Andrei Chesnokov,Grass,to_2009,5,body,True,35,1,18,0.5142857142857142,1992-06-23,1992-06-23
Andrei Chesnokov,Grass,to_2009,6,t,True,10,1,2,0.2,1992-06-23,1992-06-23
Andrei Medvedev,Hard,to_2009,4,wide,True,79,5,36,0.45569620253164556,1992-11-03,2000-03-14
