fold,surface,rank,direction,comparison_scope,explanation_code,orientations,share_within_rank_direction,mean_server_component,mean_opponent_component,mean_absolute_component_difference
2022,Grass,3,wide,global,evidence_above_threshold,18,1.0,0.46378858449357235,0.5134868890185446,0.06376753109477241
2022,Grass,3,wide,global,global_fallback_used,18,1.0,0.46378858449357235,0.5134868890185446,0.06376753109477241
2022,Grass,3,wide,global,opponent_component_higher,14,0.7777777777777778,0.45319555273860707,0.5261378756370143,0.07294232289840726
2022,Grass,3,wide,global,recommendation_available,18,1.0,0.46378858449357235,0.5134868890185446,0.06376753109477241
2022,Grass,3,wide,global,server_component_higher,4,0.2222222222222222,0.5008641956359507,0.4692084358539004,0.031655759782050416
2022,Grass,3,body,global,evidence_above_threshold,23,1.0,0.48693860528237387,0.4996125791622207,0.055894806344979474
2022,Grass,3,body,global,global_fallback_used,23,1.0,0.48693860528237387,0.4996125791622207,0.055894806344979474
2022,Grass,3,body,global,narrow_score_margin,1,0.043478260869565216,0.49819612987864875,0.5439093484419264,0.04571321856327765
2022,Grass,3,body,global,opponent_component_higher,10,0.43478260869565216,0.45140151872398804,0.5302556159825382,0.07885409725855028
2022,Grass,3,body,global,recommendation_available,23,1.0,0.48693860528237387,0.4996125791622207,0.055894806344979474
2022,Grass,3,body,global,server_component_higher,13,0.5652173913043478,0.5142748257119016,0.4760410123773611,0.038233813334540415
2022,Grass,3,T,global,evidence_above_threshold,32,0.9696969696969697,0.47034941342125824,0.4875999551238332,0.06142258058613381
2022,Grass,3,T,global,evidence_threshold_just_met,1,0.030303030303030304,0.5221757322175732,0.4,0.12217573221757316
2022,Grass,3,T,global,global_fallback_used,33,1.0,0.4719199079302376,0.4849454110291716,0.06326358518102591
2022,Grass,3,T,global,narrow_score_margin,1,0.030303030303030304,0.4942528735632184,0.5038910505836576,0.009638177020439176
2022,Grass,3,T,global,opponent_component_higher,20,0.6060606060606061,0.4477117135813781,0.510650211412345,0.06293849783096699
2022,Grass,3,T,global,recommendation_available,33,1.0,0.4719199079302376,0.4849454110291716,0.06326358518102591
2022,Grass,3,T,global,server_component_higher,13,0.3939393939393939,0.5091632838515597,0.4453995642858279,0.06376371956573196
2023,<ALL>,1,wide,surface,balanced_components,1,0.002583979328165375,0.5,0.5,0.0
2023,<ALL>,1,wide,surface,evidence_above_threshold,384,0.9922480620155039,0.5396247996829163,0.5155681839734119,0.04781699863748403
2023,<ALL>,1,wide,surface,evidence_threshold_just_met,3,0.007751937984496124,0.5749630298017395,0.5384163440359405,0.03654668576579897
2023,<ALL>,1,wide,surface,opponent_component_higher,120,0.31007751937984496,0.5141790696732165,0.5521956823579838,0.03801661268476738
2023,<ALL>,1,wide,surface,recommendation_available,387,1.0,0.5398987394512793,0.5157453014932764,0.04772963187103686
2023,<ALL>,1,wide,surface,server_component_higher,266,0.6873385012919897,0.5516515932588688,0.49936071351481176,0.05229087974405706
2023,<ALL>,1,wide,surface,surface_history_used,387,1.0,0.5398987394512793,0.5157453014932764,0.04772963187103686
2023,<ALL>,1,body,surface,evidence_above_threshold,153,0.9807692307692307,0.5225624884454206,0.5198625492420175,0.050304139055864054
2023,<ALL>,1,body,surface,evidence_threshold_just_met,3,0.019230769230769232,0.5868509984639018,0.4977765609037487,0.08907443756015294
2023,<ALL>,1,body,surface,opponent_component_higher,72,0.46153846153846156,0.5054329437098863,0.5560124060531261,0.05057946234323971
2023,<ALL>,1,body,surface,recommendation_available,156,1.0,0.5237988059457761,0.5194378186970509,0.051049721719408074
2023,<ALL>,1,body,surface,server_component_higher,84,0.5384615384615384,0.5395409735765386,0.48808817239184343,0.051452801184695245
2023,<ALL>,1,body,surface,surface_history_used,156,1.0,0.5237988059457761,0.5194378186970509,0.051049721719408074
2023,<ALL>,1,T,surface,evidence_above_threshold,126,0.9767441860465116,0.5367528246188481,0.5124034265111729,0.0517654292642295
2023,<ALL>,1,T,surface,evidence_threshold_just_met,3,0.023255813953488372,0.5376194424701888,0.5378820840749774,0.09181449077085109
2023,<ALL>,1,T,surface,opponent_component_higher,39,0.3023255813953488,0.5117331814317386,0.5595620445452356,0.0478288631134971
2023,<ALL>,1,T,surface,recommendation_available,129,1.0,0.5367729785223675,0.5129959534312615,0.052696802787639295
2023,<ALL>,1,T,surface,server_component_higher,90,0.6976744186046512,0.54762355726164,0.49281731394853917,0.05480624331310091
2023,<ALL>,1,T,surface,surface_history_used,129,1.0,0.5367729785223675,0.5129959534312615,0.052696802787639295
2023,<ALL>,1,wide,global,evidence_above_threshold,91,0.9891304347826086,0.5329848519381698,0.5301582005745293,0.03588252685328869
2023,<ALL>,1,wide,global,evidence_threshold_just_met,1,0.010869565217391304,0.4875,0.4920977011494253,0.004597701149425315
2023,<ALL>,1,wide,global,global_fallback_used,92,1.0,0.5324904513736244,0.5297444994938217,0.03554247439998582
2023,<ALL>,1,wide,global,opponent_component_higher,41,0.44565217391304346,0.5177721739030706,0.5545682723403493,0.03679609843727864
2023,<ALL>,1,wide,global,recommendation_available,92,1.0,0.5324904513736244,0.5297444994938217,0.03554247439998582
2023,<ALL>,1,wide,global,server_component_higher,51,0.5543478260869565,0.5443227920852459,0.5097881330877896,0.034534658997456294
2023,<ALL>,1,body,global,evidence_above_threshold,45,0.9375,0.5099365009585431,0.5329628926819147,0.05404014427066222
2023,<ALL>,1,body,global,evidence_threshold_just_met,3,0.0625,0.5481973434535105,0.4678609121034303,0.08033643135008012
2023,<ALL>,1,body,global,global_fallback_used,48,1.0,0.5123278036144786,0.5288940188957593,0.05568366221312584
2023,<ALL>,1,body,global,opponent_component_higher,28,0.5833333333333334,0.49882453572560786,0.560753002149385,0.061928466423777064
2023,<ALL>,1,body,global,recommendation_available,48,1.0,0.5123278036144786,0.5288940188957593,0.05568366221312584
2023,<ALL>,1,body,global,server_component_higher,20,0.4166666666666667,0.5312323786588975,0.48429144234068355,0.046940936318214124
2023,<ALL>,1,T,global,evidence_above_threshold,22,0.9166666666666666,0.5265635605486566,0.5357037440030181,0.036063883066731924
2023,<ALL>,1,T,global,evidence_threshold_just_met,2,0.08333333333333333,0.5503706199460916,0.4734781583633885,0.07689246158270313
2023,<ALL>,1,T,global,global_fallback_used,24,1.0,0.5285474821651095,0.5305182785330489,0.039466264609729525
2023,<ALL>,1,T,global,opponent_component_higher,12,0.5,0.510268376846943,0.551705437824612,0.04143706097766899
2023,<ALL>,1,T,global,recommendation_available,24,1.0,0.5285474821651095,0.5305182785330489,0.039466264609729525
2023,<ALL>,1,T,global,server_component_higher,12,0.5,0.5468265874832761,0.5093311192414859,0.03749546824179007
2023,<ALL>,2,wide,surface,evidence_above_threshold,155,0.9872611464968153,0.5041984237392343,0.5001213696672255,0.040822810905746826
2023,<ALL>,2,wide,surface,evidence_threshold_just_met,2,0.012738853503184714,0.5451456310679612,0.5280769230769231,0.017068707991038073
2023,<ALL>,2,wide,surface,narrow_score_margin,62,0.39490445859872614,0.5107197750369534,0.49908225878239604,0.03653629844876741
2023,<ALL>,2,wide,surface,opponent_component_higher,79,0.5031847133757962,0.48240530901399764,0.5184533616040571,0.03604805259005959
2023,<ALL>,2,wide,surface,recommendation_available,157,1.0,0.5047200442147595,0.5004774913667122,0.04052021086861678
2023,<ALL>,2,wide,surface,server_component_higher,78,0.4968152866242038,0.5273208657642492,0.4822711612545297,0.045049704509719575
2023,<ALL>,2,wide,surface,surface_history_used,157,1.0,0.5047200442147595,0.5004774913667122,0.04052021086861678
2023,<ALL>,2,body,surface,evidence_above_threshold,290,0.9863945578231292,0.5101878381829174,0.4987518537567329,0.041647273404416624
2023,<ALL>,2,body,surface,evidence_threshold_just_met,4,0.013605442176870748,0.4822885245635815,0.4924263288499213,0.027216269044134933
2023,<ALL>,2,body,surface,narrow_score_margin,76,0.2585034013605442,0.5217433850839457,0.5047404237744696,0.045220259417060996
2023,<ALL>,2,body,surface,opponent_component_higher,114,0.3877551020408163,0.4878847839677653,0.5269667580774551,0.039081974109689784
2023,<ALL>,2,body,surface,recommendation_available,294,1.0,0.509808255684695,0.498665792193375,0.04145093320903864
2023,<ALL>,2,body,surface,server_component_higher,180,0.6122448979591837,0.5236931211054171,0.4807418471334576,0.04295127397195959
2023,<ALL>,2,body,surface,surface_history_used,294,1.0,0.509808255684695,0.498665792193375,0.04145093320903864
2023,<ALL>,2,T,surface,evidence_above_threshold,218,0.9864253393665159,0.5155889845153239,0.5010028153087731,0.04606014293048131
2023,<ALL>,2,T,surface,evidence_threshold_just_met,3,0.013574660633484163,0.5230471079308289,0.48488972362620847,0.03815738430462038
2023,<ALL>,2,T,surface,narrow_score_margin,72,0.3257918552036199,0.5220348051792443,0.5002222881530154,0.049178240322904694
2023,<ALL>,2,T,surface,opponent_component_higher,77,0.34841628959276016,0.49035371648656273,0.5349077831866722,0.04455406670010951
2023,<ALL>,2,T,surface,recommendation_available,221,1.0,0.515690226009652,0.500784085557426,0.04595286566406691
2023,<ALL>,2,T,surface,server_component_higher,144,0.6515837104072398,0.5292382206851927,0.4825373861306763,0.04670083455451634
2023,<ALL>,2,T,surface,surface_history_used,221,1.0,0.515690226009652,0.500784085557426,0.04595286566406691
2023,<ALL>,2,wide,global,evidence_above_threshold,44,0.9565217391304348,0.5071374762232103,0.5069995348086389,0.043270097387290485
