scope,metric,threshold,stratum_type,stratum,eligible_snapshots,total_snapshots,coverage_rate,complete_matches,total_matches,complete_match_rate,covered_players
server_surface,historical_matches,0,overall,Overall,15048,15048,1.0,7524,7524,1.0,1002
server_surface,historical_matches,0,surface,Hard,9646,9646,1.0,4823,4823,1.0,753
server_surface,historical_matches,0,surface,Clay,3744,3744,1.0,1872,1872,1.0,587
server_surface,historical_matches,0,surface,Grass,1658,1658,1.0,829,829,1.0,359
server_surface,historical_matches,0,derived_period,to_2009,3912,3912,1.0,1956,1956,1.0,357
server_surface,historical_matches,0,derived_period,2010s,4464,4464,1.0,2232,2232,1.0,412
server_surface,historical_matches,0,derived_period,2020s,6672,6672,1.0,3336,3336,1.0,470
server_surface,historical_matches,1,overall,Overall,13347,15048,0.8869617224880383,6040,7524,0.8027644869750132,550
server_surface,historical_matches,1,surface,Hard,8893,9646,0.9219365540120257,4165,4823,0.8635703918722787,463
server_surface,historical_matches,1,surface,Clay,3157,3744,0.843215811965812,1364,1872,0.7286324786324786,339
server_surface,historical_matches,1,surface,Grass,1297,1658,0.7822677925211098,511,829,0.6164053075995175,201
server_surface,historical_matches,1,derived_period,to_2009,3344,3912,0.8548057259713702,1431,1956,0.7315950920245399,177
server_surface,historical_matches,1,derived_period,2010s,3880,4464,0.8691756272401434,1743,2232,0.7809139784946236,238
server_surface,historical_matches,1,derived_period,2020s,6123,6672,0.9177158273381295,2866,3336,0.8591127098321343,307
server_surface,historical_matches,3,overall,Overall,11585,15048,0.769869750132908,4692,7524,0.6236044657097288,349
server_surface,historical_matches,3,surface,Hard,8066,9646,0.8362015343147419,3487,4823,0.7229939871449306,313
server_surface,historical_matches,3,surface,Clay,2565,3744,0.6850961538461539,931,1872,0.49732905982905984,207
server_surface,historical_matches,3,surface,Grass,954,1658,0.5753920386007237,274,829,0.330518697225573,106
server_surface,historical_matches,3,derived_period,to_2009,2824,3912,0.721881390593047,1024,1956,0.523517382413088,110
server_surface,historical_matches,3,derived_period,2010s,3261,4464,0.730510752688172,1281,2232,0.5739247311827957,159
server_surface,historical_matches,3,derived_period,2020s,5500,6672,0.8243405275779376,2387,3336,0.7155275779376499,216
server_surface,historical_matches,5,overall,Overall,10414,15048,0.6920520999468368,3859,7524,0.5128920786815524,280
server_surface,historical_matches,5,surface,Hard,7476,9646,0.7750362844702468,3010,4823,0.6240928882438317,252
server_surface,historical_matches,5,surface,Clay,2172,3744,0.5801282051282052,682,1872,0.3643162393162393,153
server_surface,historical_matches,5,surface,Grass,766,1658,0.4620024125452352,167,829,0.2014475271411339,65
server_surface,historical_matches,5,derived_period,to_2009,2482,3912,0.6344580777096115,789,1956,0.40337423312883436,82
server_surface,historical_matches,5,derived_period,2010s,2864,4464,0.6415770609318996,1014,2232,0.4543010752688172,123
server_surface,historical_matches,5,derived_period,2020s,5068,6672,0.7595923261390888,2056,3336,0.6163069544364509,187
server_surface,historical_matches,10,overall,Overall,8467,15048,0.5626661350345561,2668,7524,0.35459861775651247,181
server_surface,historical_matches,10,surface,Hard,6405,9646,0.6640058055152395,2230,4823,0.4623678208583869,169
server_surface,historical_matches,10,surface,Clay,1558,3744,0.41613247863247865,370,1872,0.19764957264957264,93
server_surface,historical_matches,10,surface,Grass,504,1658,0.3039806996381182,68,829,0.08202653799758745,37
server_surface,historical_matches,10,derived_period,to_2009,1953,3912,0.49923312883435583,497,1956,0.25408997955010226,50
server_surface,historical_matches,10,derived_period,2010s,2288,4464,0.5125448028673835,674,2232,0.30197132616487454,71
server_surface,historical_matches,10,derived_period,2020s,4226,6672,0.6333932853717026,1497,3336,0.4487410071942446,124
server_surface,historical_matches,20,overall,Overall,6202,15048,0.4121477937267411,1516,7524,0.20148856990962255,112
server_surface,historical_matches,20,surface,Hard,5007,9646,0.5190752643582832,1367,4823,0.28343354758449096,106
server_surface,historical_matches,20,surface,Clay,925,3744,0.24706196581196582,132,1872,0.07051282051282051,40
server_surface,historical_matches,20,surface,Grass,270,1658,0.16284680337756333,17,829,0.020506634499396863,13
server_surface,historical_matches,20,derived_period,to_2009,1364,3912,0.3486707566462168,254,1956,0.12985685071574643,29
server_surface,historical_matches,20,derived_period,2010s,1697,4464,0.38015232974910396,396,2232,0.1774193548387097,44
server_surface,historical_matches,20,derived_period,2020s,3141,6672,0.47077338129496404,866,3336,0.2595923261390887,82
server_surface,historical_matches,50,overall,Overall,3494,15048,0.23219032429558745,528,7524,0.07017543859649122,46
server_surface,historical_matches,50,surface,Hard,3011,9646,0.3121501140369065,506,4823,0.10491395397055775,46
server_surface,historical_matches,50,surface,Clay,406,3744,0.10844017094017094,22,1872,0.011752136752136752,11
server_surface,historical_matches,50,surface,Grass,77,1658,0.046441495778045835,0,829,0.0,2
server_surface,historical_matches,50,derived_period,to_2009,695,3912,0.17765848670756645,77,1956,0.03936605316973415,10
server_surface,historical_matches,50,derived_period,2010s,1019,4464,0.22827060931899643,119,2232,0.053315412186379925,17
server_surface,historical_matches,50,derived_period,2020s,1780,6672,0.2667865707434053,332,3336,0.09952038369304557,35
server_surface,historical_points,0,overall,Overall,15048,15048,1.0,7524,7524,1.0,1002
server_surface,historical_points,0,surface,Hard,9646,9646,1.0,4823,4823,1.0,753
server_surface,historical_points,0,surface,Clay,3744,3744,1.0,1872,1872,1.0,587
server_surface,historical_points,0,surface,Grass,1658,1658,1.0,829,829,1.0,359
server_surface,historical_points,0,derived_period,to_2009,3912,3912,1.0,1956,1956,1.0,357
server_surface,historical_points,0,derived_period,2010s,4464,4464,1.0,2232,2232,1.0,412
server_surface,historical_points,0,derived_period,2020s,6672,6672,1.0,3336,3336,1.0,470
server_surface,historical_points,25,overall,Overall,12994,15048,0.8635034556087188,5769,7524,0.7667464114832536,507
server_surface,historical_points,25,surface,Hard,8716,9646,0.9035869790586771,4025,4823,0.8345428156748912,428
server_surface,historical_points,25,surface,Clay,3030,3744,0.8092948717948718,1269,1872,0.6778846153846154,312
server_surface,historical_points,25,surface,Grass,1248,1658,0.752714113389626,475,829,0.5729794933655006,190
server_surface,historical_points,25,derived_period,to_2009,3279,3912,0.8381901840490797,1379,1956,0.7050102249488752,165
server_surface,historical_points,25,derived_period,2010s,3728,4464,0.8351254480286738,1625,2232,0.7280465949820788,212
server_surface,historical_points,25,derived_period,2020s,5987,6672,0.897332134292566,2765,3336,0.8288369304556354,291
server_surface,historical_points,50,overall,Overall,12268,15048,0.815257841573631,5195,7524,0.6904572036150983,411
server_surface,historical_points,50,surface,Hard,8387,9646,0.8694795770267468,3755,4823,0.7785610615799295,357
server_surface,historical_points,50,surface,Clay,2770,3744,0.7398504273504274,1068,1872,0.5705128205128205,242
server_surface,historical_points,50,surface,Grass,1111,1658,0.6700844390832328,372,829,0.4487334137515078,149
server_surface,historical_points,50,derived_period,to_2009,3087,3912,0.7891104294478528,1219,1956,0.6232106339468303,138
server_surface,historical_points,50,derived_period,2010s,3474,4464,0.7782258064516129,1433,2232,0.6420250896057348,178
server_surface,historical_points,50,derived_period,2020s,5707,6672,0.8553657074340527,2543,3336,0.7622901678657075,243
server_surface,historical_points,100,overall,Overall,11197,15048,0.7440855927698034,4411,7524,0.5862573099415205,326
server_surface,historical_points,100,surface,Hard,7869,9646,0.81577856106158,3334,4823,0.6912709931577856,288
server_surface,historical_points,100,surface,Clay,2404,3744,0.6420940170940171,823,1872,0.43963675213675213,186
server_surface,historical_points,100,surface,Grass,924,1658,0.5572979493365501,254,829,0.30639324487334135,102
server_surface,historical_points,100,derived_period,to_2009,2800,3912,0.7157464212678937,1002,1956,0.5122699386503068,105
server_surface,historical_points,100,derived_period,2010s,3087,4464,0.6915322580645161,1166,2232,0.5224014336917563,143
server_surface,historical_points,100,derived_period,2020s,5310,6672,0.795863309352518,2243,3336,0.6723621103117506,205
server_surface,historical_points,250,overall,Overall,9076,15048,0.603136629452419,3002,7524,0.398989898989899,209
server_surface,historical_points,250,surface,Hard,6728,9646,0.6974911880572258,2462,4823,0.5104706614140576,195
server_surface,historical_points,250,surface,Clay,1711,3744,0.45699786324786323,427,1872,0.2280982905982906,102
server_surface,historical_points,250,surface,Grass,637,1658,0.3841978287092883,113,829,0.13630880579010857,52
server_surface,historical_points,250,derived_period,to_2009,2240,3912,0.5725971370143149,640,1956,0.32719836400818,63
server_surface,historical_points,250,derived_period,2010s,2428,4464,0.5439068100358423,755,2232,0.3382616487455197,77
server_surface,historical_points,250,derived_period,2020s,4408,6672,0.6606714628297362,1607,3336,0.4817146282973621,140
server_surface,historical_points,500,overall,Overall,7017,15048,0.4663078149920255,1887,7524,0.25079744816586924,135
server_surface,historical_points,500,surface,Hard,5558,9646,0.5761973875181422,1681,4823,0.34853825419863155,126
server_surface,historical_points,500,surface,Clay,1081,3744,0.28872863247863245,168,1872,0.08974358974358974,55
server_surface,historical_points,500,surface,Grass,378,1658,0.22798552472858866,38,829,0.045838359469240045,23
server_surface,historical_points,500,derived_period,to_2009,1712,3912,0.4376278118609407,392,1956,0.20040899795501022,38
server_surface,historical_points,500,derived_period,2010s,1904,4464,0.4265232974910394,484,2232,0.2168458781362007,54
server_surface,historical_points,500,derived_period,2020s,3401,6672,0.509742206235012,1011,3336,0.30305755395683454,92
opponent_return_global,historical_matches,0,overall,Overall,15048,15048,1.0,7524,7524,1.0,1002
opponent_return_global,historical_matches,0,surface,Hard,9646,9646,1.0,4823,4823,1.0,753
opponent_return_global,historical_matches,0,surface,Clay,3744,3744,1.0,1872,1872,1.0,587
opponent_return_global,historical_matches,0,surface,Grass,1658,1658,1.0,829,829,1.0,359
opponent_return_global,historical_matches,0,derived_period,to_2009,3912,3912,1.0,1956,1956,1.0,357
opponent_return_global,historical_matches,0,derived_period,2010s,4464,4464,1.0,2232,2232,1.0,412
opponent_return_global,historical_matches,0,derived_period,2020s,6672,6672,1.0,3336,3336,1.0,470
opponent_return_global,historical_matches,1,overall,Overall,14046,15048,0.9334130781499203,6641,7524,0.88264221158958,880
opponent_return_global,historical_matches,1,surface,Hard,9107,9646,0.944121915820029,4349,4823,0.9017209205888451,671
opponent_return_global,historical_matches,1,surface,Clay,3397,3744,0.9073183760683761,1570,1872,0.8386752136752137,525
opponent_return_global,historical_matches,1,surface,Grass,1542,1658,0.9300361881785284,722,829,0.8709288299155609,344
opponent_return_global,historical_matches,1,derived_period,to_2009,3555,3912,0.9087423312883436,1617,1956,0.8266871165644172,341
opponent_return_global,historical_matches,1,derived_period,2010s,4112,4464,0.921146953405018,1939,2232,0.8687275985663082,344
opponent_return_global,historical_matches,1,derived_period,2020s,6379,6672,0.9560851318944844,3085,3336,0.9247601918465228,420
opponent_return_global,historical_matches,3,overall,Overall,12966,15048,0.8616427432216905,5767,7524,0.7664805954279639,791
opponent_return_global,historical_matches,3,surface,Hard,8495,9646,0.8806759278457391,3840,4823,0.7961849471283433,617
opponent_return_global,historical_matches,3,surface,Clay,3057,3744,0.8165064102564102,1313,1872,0.7013888888888888,475
opponent_return_global,historical_matches,3,surface,Grass,1414,1658,0.8528347406513872,614,829,0.7406513872135102,323
opponent_return_global,historical_matches,3,derived_period,to_2009,3211,3912,0.8208077709611452,1318,1956,0.6738241308793456,319
opponent_return_global,historical_matches,3,derived_period,2010s,3721,4464,0.8335573476702509,1630,2232,0.7302867383512545,305
opponent_return_global,historical_matches,3,derived_period,2020s,6034,6672,0.9043764988009593,2819,3336,0.8450239808153477,378
opponent_return_global,historical_matches,5,overall,Overall,12206,15048,0.81113769271664,5182,7524,0.6887293992557151,751
opponent_return_global,historical_matches,5,surface,Hard,8054,9646,0.8349574953348539,3483,4823,0.7221646278250052,597
opponent_return_global,historical_matches,5,surface,Clay,2822,3744,0.7537393162393162,1149,1872,0.6137820512820513,445
opponent_return_global,historical_matches,5,surface,Grass,1330,1658,0.8021712907117008,550,829,0.6634499396863691,309
opponent_return_global,historical_matches,5,derived_period,to_2009,2974,3912,0.7602249488752556,1132,1956,0.5787321063394683,312
opponent_return_global,historical_matches,5,derived_period,2010s,3446,4464,0.7719534050179212,1428,2232,0.6397849462365591,283
opponent_return_global,historical_matches,5,derived_period,2020s,5786,6672,0.8672062350119905,2622,3336,0.7859712230215827,357
opponent_return_global,historical_matches,10,overall,Overall,10755,15048,0.7147129186602871,4065,7524,0.5402711323763956,707
opponent_return_global,historical_matches,10,surface,Hard,7112,9646,0.737300435413643,2735,4823,0.5670744349989633,569
opponent_return_global,historical_matches,10,surface,Clay,2450,3744,0.6543803418803419,891,1872,0.47596153846153844,406
opponent_return_global,historical_matches,10,surface,Grass,1193,1658,0.7195416164053076,439,829,0.5295536791314838,296
opponent_return_global,historical_matches,10,derived_period,to_2009,2541,3912,0.6495398773006135,807,1956,0.4125766871165644,292
opponent_return_global,historical_matches,10,derived_period,2010s,2962,4464,0.6635304659498208,1074,2232,0.48118279569892475,265
opponent_return_global,historical_matches,10,derived_period,2020s,5252,6672,0.7871702637889688,2184,3336,0.6546762589928058,335
opponent_return_global,historical_matches,20,overall,Overall,8849,15048,0.5880515683147262,2791,7524,0.37094630515683147,655
opponent_return_global,historical_matches,20,surface,Hard,5891,9646,0.6107194692100353,1906,4823,0.3951897159444329,523
opponent_return_global,historical_matches,20,surface,Clay,1974,3744,0.5272435897435898,598,1872,0.3194444444444444,370
opponent_return_global,historical_matches,20,surface,Grass,984,1658,0.5934861278648975,287,829,0.34620024125452353,280
