dimension,direction,surface,derived_period,immediate_outcome,points,matches,servers,server_wins,server_win_rate
surface,T,Clay,ALL,fault,39191,1439,498,19572,0.4994003725345105
surface,T,Clay,ALL,continuation_or_other,49730,1439,498,32273,0.6489644078021315
surface,T,Grass,ALL,ace,6773,670,286,6773,1.0
surface,T,Grass,ALL,unreturned,1250,283,162,1250,1.0
surface,T,Grass,ALL,fault,23708,701,315,12592,0.5311287329171588
surface,T,Grass,ALL,continuation_or_other,31058,705,316,21606,0.6956661729667074
derived_period,wide,ALL,to_2009,ace,11829,1824,289,11829,1.0
derived_period,wide,ALL,to_2009,unreturned,1264,505,143,1264,1.0
derived_period,wide,ALL,to_2009,fault,66192,1952,354,33993,0.5135514865844815
derived_period,wide,ALL,to_2009,continuation_or_other,92360,1956,357,62789,0.6798289302728454
derived_period,wide,ALL,2010s,ace,12405,2127,351,12405,1.0
derived_period,wide,ALL,2010s,unreturned,2177,792,190,2177,1.0
derived_period,wide,ALL,2010s,fault,60302,2230,411,30851,0.5116082385327186
derived_period,wide,ALL,2010s,continuation_or_other,89671,2232,412,61082,0.6811789764806905
derived_period,wide,ALL,2020s,ace,10699,1728,288,10699,1.0
derived_period,wide,ALL,2020s,unreturned,3683,783,171,3683,1.0
derived_period,wide,ALL,2020s,fault,52427,1805,332,26657,0.5084593816163427
derived_period,wide,ALL,2020s,continuation_or_other,77703,1805,332,52611,0.6770781050924675
derived_period,body,ALL,to_2009,ace,60,59,32,60,1.0
derived_period,body,ALL,to_2009,unreturned,198,135,69,198,1.0
derived_period,body,ALL,to_2009,fault,9741,1713,329,4963,0.5094959449748486
derived_period,body,ALL,to_2009,continuation_or_other,25540,1936,353,16142,0.6320281910728269
derived_period,body,ALL,2010s,ace,65,58,40,65,1.0
derived_period,body,ALL,2010s,unreturned,232,178,81,232,1.0
derived_period,body,ALL,2010s,fault,10006,2018,378,5021,0.5017989206476114
derived_period,body,ALL,2010s,continuation_or_other,25666,2193,405,16129,0.6284189199719473
derived_period,body,ALL,2020s,ace,22,22,18,22,1.0
derived_period,body,ALL,2020s,unreturned,312,211,91,312,1.0
derived_period,body,ALL,2020s,fault,7520,1578,313,3801,0.5054521276595745
derived_period,body,ALL,2020s,continuation_or_other,20544,1751,330,12728,0.6195482866043613
derived_period,T,ALL,to_2009,ace,14764,1864,302,14764,1.0
derived_period,T,ALL,to_2009,unreturned,1537,537,149,1537,1.0
derived_period,T,ALL,to_2009,fault,66523,1950,355,34127,0.5130105377087624
derived_period,T,ALL,to_2009,continuation_or_other,73913,1956,356,49900,0.6751180441870848
derived_period,T,ALL,2010s,ace,14931,2162,356,14931,1.0
derived_period,T,ALL,2010s,unreturned,2642,832,201,2642,1.0
derived_period,T,ALL,2010s,fault,60552,2232,412,30924,0.5107015457788348
derived_period,T,ALL,2010s,continuation_or_other,76037,2232,412,51202,0.673382695266778
derived_period,T,ALL,2020s,ace,12583,1759,287,12583,1.0
derived_period,T,ALL,2020s,unreturned,3756,823,169,3756,1.0
derived_period,T,ALL,2020s,fault,48298,1805,331,24411,0.5054246552652284
derived_period,T,ALL,2020s,continuation_or_other,63737,1805,332,42304,0.6637275052167501
surface_derived_period,wide,Hard,to_2009,ace,8270,1208,210,8270,1.0
surface_derived_period,wide,Hard,to_2009,unreturned,705,292,99,705,1.0
surface_derived_period,wide,Hard,to_2009,fault,41355,1249,234,21233,0.5134324749123443
surface_derived_period,wide,Hard,to_2009,continuation_or_other,55558,1251,237,38123,0.6861838079124518
surface_derived_period,wide,Hard,2010s,ace,8461,1361,288,8461,1.0
surface_derived_period,wide,Hard,2010s,unreturned,1526,527,154,1526,1.0
surface_derived_period,wide,Hard,2010s,fault,37844,1415,323,19269,0.509169221012578
surface_derived_period,wide,Hard,2010s,continuation_or_other,53397,1415,323,36458,0.6827724403992733
surface_derived_period,wide,Hard,2020s,ace,7656,1148,247,7656,1.0
surface_derived_period,wide,Hard,2020s,unreturned,2486,512,146,2486,1.0
surface_derived_period,wide,Hard,2020s,fault,33791,1183,269,17183,0.5085081826521854
surface_derived_period,wide,Hard,2020s,continuation_or_other,49082,1183,269,33491,0.682347907583228
surface_derived_period,wide,Clay,to_2009,ace,1380,348,133,1380,1.0
surface_derived_period,wide,Clay,to_2009,unreturned,166,91,58,166,1.0
surface_derived_period,wide,Clay,to_2009,fault,13750,404,179,6923,0.5034909090909091
surface_derived_period,wide,Clay,to_2009,continuation_or_other,21576,404,179,13875,0.643075639599555
surface_derived_period,wide,Clay,2010s,ace,2016,537,183,2016,1.0
surface_derived_period,wide,Clay,2010s,unreturned,433,189,95,433,1.0
surface_derived_period,wide,Clay,2010s,fault,15426,583,234,7826,0.5073252949565669
surface_derived_period,wide,Clay,2010s,continuation_or_other,24493,583,235,16269,0.6642305964969584
surface_derived_period,wide,Clay,2020s,ace,1660,411,151,1660,1.0
surface_derived_period,wide,Clay,2020s,unreturned,802,189,98,802,1.0
surface_derived_period,wide,Clay,2020s,fault,13116,452,203,6595,0.5028209820067093
