aggregation_level,group_type,group_value,serve_number,surface,period,validation_fold,profile_id,return_shot_type_code,return_lateral_direction_code,return_depth_code,trials,returner_wins,server_wins,returner_win_rate,wilson_95_lower,wilson_95_upper
profile_outcome,total,ALL,0,ALL,ALL,ALL,m|3|8,m,3,8,113,36,77,0.3185840707964602,0.23985559431776715,0.4092415633707641
profile_outcome,total,ALL,0,ALL,ALL,ALL,m|3|9,m,3,9,96,53,43,0.5520833333333334,0.4525163859774741,0.6476424069540183
profile_outcome,total,ALL,0,ALL,ALL,ALL,h|1|7,h,1,7,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,h|1|8,h,1,8,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,h|1|9,h,1,9,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,h|2|7,h,2,7,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,h|2|8,h,2,8,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,h|2|9,h,2,9,1,1,0,1.0,0.20654931437723745,1.0
profile_outcome,total,ALL,0,ALL,ALL,ALL,h|3|7,h,3,7,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,h|3|8,h,3,8,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,h|3|9,h,3,9,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,i|1|7,i,1,7,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,i|1|8,i,1,8,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,i|1|9,i,1,9,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,i|2|7,i,2,7,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,i|2|8,i,2,8,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,i|2|9,i,2,9,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,i|3|7,i,3,7,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,i|3|8,i,3,8,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,i|3|9,i,3,9,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,j|1|7,j,1,7,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,j|1|8,j,1,8,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,j|1|9,j,1,9,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,j|2|7,j,2,7,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,j|2|8,j,2,8,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,j|2|9,j,2,9,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,j|3|7,j,3,7,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,j|3|8,j,3,8,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,j|3|9,j,3,9,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,k|1|7,k,1,7,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,k|1|8,k,1,8,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,k|1|9,k,1,9,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,k|2|7,k,2,7,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,k|2|8,k,2,8,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,k|2|9,k,2,9,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,k|3|7,k,3,7,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,k|3|8,k,3,8,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,k|3|9,k,3,9,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,t|1|7,t,1,7,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,t|1|8,t,1,8,2,0,2,0.0,0.0,0.6576197724933469
profile_outcome,total,ALL,0,ALL,ALL,ALL,t|1|9,t,1,9,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,t|2|7,t,2,7,1,0,1,0.0,0.0,0.7934506856227626
profile_outcome,total,ALL,0,ALL,ALL,ALL,t|2|8,t,2,8,2,1,1,0.5,0.09453120573423074,0.9054687942657693
profile_outcome,total,ALL,0,ALL,ALL,ALL,t|2|9,t,2,9,1,0,1,0.0,0.0,0.7934506856227626
profile_outcome,total,ALL,0,ALL,ALL,ALL,t|3|7,t,3,7,1,0,1,0.0,0.0,0.7934506856227626
profile_outcome,total,ALL,0,ALL,ALL,ALL,t|3|8,t,3,8,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,t|3|9,t,3,9,0,0,0,,,
profile_outcome,serve_number,1,1,ALL,ALL,ALL,f|1|7,f,1,7,8451,3580,4871,0.42361850668559936,0.41312049908273407,0.4341859221804185
profile_outcome,serve_number,1,1,ALL,ALL,ALL,f|1|8,f,1,8,13638,6900,6738,0.5059392872855257,0.49754782727505703,0.5143274023623065
profile_outcome,serve_number,1,1,ALL,ALL,ALL,f|1|9,f,1,9,6592,3734,2858,0.5664441747572816,0.5544458861748958,0.5783650683438057
profile_outcome,serve_number,1,1,ALL,ALL,ALL,f|2|7,f,2,7,18717,7135,11582,0.3812042528182935,0.3742713313868805,0.3881859272902016
profile_outcome,serve_number,1,1,ALL,ALL,ALL,f|2|8,f,2,8,35241,15484,19757,0.43937459209443547,0.434199711576839,0.44456268816348954
profile_outcome,serve_number,1,1,ALL,ALL,ALL,f|2|9,f,2,9,20547,10916,9631,0.5312697717428335,0.5244412862770794,0.53808656702639
profile_outcome,serve_number,1,1,ALL,ALL,ALL,f|3|7,f,3,7,7957,3479,4478,0.43722508483096645,0.4263587972397992,0.4481519557795193
profile_outcome,serve_number,1,1,ALL,ALL,ALL,f|3|8,f,3,8,14211,7067,7144,0.4972908310463725,0.489072151905676,0.5055109744539769
profile_outcome,serve_number,1,1,ALL,ALL,ALL,f|3|9,f,3,9,7626,4263,3363,0.559008654602675,0.5478381501730724,0.5701197398902301
profile_outcome,serve_number,1,1,ALL,ALL,ALL,b|1|7,b,1,7,5753,2363,3390,0.4107422214496784,0.39809317162440744,0.4235103921794177
profile_outcome,serve_number,1,1,ALL,ALL,ALL,b|1|8,b,1,8,9043,4489,4554,0.496406059935862,0.48610471193404514,0.5067104600465996
profile_outcome,serve_number,1,1,ALL,ALL,ALL,b|1|9,b,1,9,4888,2674,2214,0.5470540098199672,0.5330677809580607,0.5609663376601036
profile_outcome,serve_number,1,1,ALL,ALL,ALL,b|2|7,b,2,7,18560,7172,11388,0.38642241379310344,0.37944133007949987,0.393450503254018
profile_outcome,serve_number,1,1,ALL,ALL,ALL,b|2|8,b,2,8,32583,14139,18444,0.4339379430991621,0.42856460367203225,0.43932685781127406
profile_outcome,serve_number,1,1,ALL,ALL,ALL,b|2|9,b,2,9,17946,8984,8962,0.5006129499609941,0.4932982713497495,0.5079273662164916
profile_outcome,serve_number,1,1,ALL,ALL,ALL,b|3|7,b,3,7,14268,6268,8000,0.43930473787496493,0.4311786202271542,0.44746352942133855
profile_outcome,serve_number,1,1,ALL,ALL,ALL,b|3|8,b,3,8,19458,9111,10347,0.4682392846130126,0.4612350640919275,0.4752560432570222
profile_outcome,serve_number,1,1,ALL,ALL,ALL,b|3|9,b,3,9,7820,4161,3659,0.5320971867007672,0.521025076086525,0.5431377782660564
profile_outcome,serve_number,1,1,ALL,ALL,ALL,r|1|7,r,1,7,1261,438,823,0.3473433782712133,0.3215636359536212,0.3740503895709974
profile_outcome,serve_number,1,1,ALL,ALL,ALL,r|1|8,r,1,8,1687,653,1034,0.3870776526378186,0.36411619628955383,0.41055221037127254
profile_outcome,serve_number,1,1,ALL,ALL,ALL,r|1|9,r,1,9,868,363,505,0.4182027649769585,0.38581893512654797,0.4513074155839608
profile_outcome,serve_number,1,1,ALL,ALL,ALL,r|2|7,r,2,7,4253,1285,2968,0.30213966611803433,0.2885229918615057,0.316113446615051
profile_outcome,serve_number,1,1,ALL,ALL,ALL,r|2|8,r,2,8,5945,2183,3762,0.36719932716568543,0.35503534111324947,0.37953482503923314
profile_outcome,serve_number,1,1,ALL,ALL,ALL,r|2|9,r,2,9,3639,1572,2067,0.4319868095630668,0.4159725805806496,0.4481444814448146
profile_outcome,serve_number,1,1,ALL,ALL,ALL,r|3|7,r,3,7,1311,427,884,0.32570556826849734,0.3008788790518756,0.35155069948461815
profile_outcome,serve_number,1,1,ALL,ALL,ALL,r|3|8,r,3,8,1869,731,1138,0.3911182450508293,0.36923913400227204,0.41344401940448605
profile_outcome,serve_number,1,1,ALL,ALL,ALL,r|3|9,r,3,9,1081,450,631,0.4162812210915819,0.3872429231588148,0.4459124208517645
profile_outcome,serve_number,1,1,ALL,ALL,ALL,s|1|7,s,1,7,2761,792,1969,0.2868525896414343,0.2702871268803908,0.3040103445912524
profile_outcome,serve_number,1,1,ALL,ALL,ALL,s|1|8,s,1,8,2852,1036,1816,0.3632538569424965,0.34579802666526266,0.38107756805976906
profile_outcome,serve_number,1,1,ALL,ALL,ALL,s|1|9,s,1,9,1448,593,855,0.4095303867403315,0.3844738828351872,0.43506564167128475
profile_outcome,serve_number,1,1,ALL,ALL,ALL,s|2|7,s,2,7,11905,3539,8366,0.29727005459890804,0.2891263235128174,0.3055445756933588
profile_outcome,serve_number,1,1,ALL,ALL,ALL,s|2|8,s,2,8,13501,4834,8667,0.3580475520331827,0.3500019899076322,0.36617387104655363
profile_outcome,serve_number,1,1,ALL,ALL,ALL,s|2|9,s,2,9,7144,3075,4069,0.43043113101903696,0.4189899464186179,0.44194709230467827
profile_outcome,serve_number,1,1,ALL,ALL,ALL,s|3|7,s,3,7,7330,2829,4501,0.3859481582537517,0.37486609278921124,0.3971497041995522
profile_outcome,serve_number,1,1,ALL,ALL,ALL,s|3|8,s,3,8,9081,3733,5348,0.411078075101861,0.4009979370172445,0.4212334131587173
profile_outcome,serve_number,1,1,ALL,ALL,ALL,s|3|9,s,3,9,3704,1630,2074,0.4400647948164147,0.42414905263169556,0.45610472711291705
profile_outcome,serve_number,1,1,ALL,ALL,ALL,v|1|7,v,1,7,0,0,0,,,
profile_outcome,serve_number,1,1,ALL,ALL,ALL,v|1|8,v,1,8,1,1,0,1.0,0.20654931437723745,1.0
profile_outcome,serve_number,1,1,ALL,ALL,ALL,v|1|9,v,1,9,0,0,0,,,
profile_outcome,serve_number,1,1,ALL,ALL,ALL,v|2|7,v,2,7,1,0,1,0.0,0.0,0.7934506856227626
profile_outcome,serve_number,1,1,ALL,ALL,ALL,v|2|8,v,2,8,2,1,1,0.5,0.09453120573423074,0.9054687942657693
profile_outcome,serve_number,1,1,ALL,ALL,ALL,v|2|9,v,2,9,4,0,4,0.0,0.0,0.4898908364545973
profile_outcome,serve_number,1,1,ALL,ALL,ALL,v|3|7,v,3,7,0,0,0,,,
profile_outcome,serve_number,1,1,ALL,ALL,ALL,v|3|8,v,3,8,1,0,1,0.0,0.0,0.7934506856227626
profile_outcome,serve_number,1,1,ALL,ALL,ALL,v|3|9,v,3,9,0,0,0,,,
profile_outcome,serve_number,1,1,ALL,ALL,ALL,z|1|7,z,1,7,0,0,0,,,
profile_outcome,serve_number,1,1,ALL,ALL,ALL,z|1|8,z,1,8,0,0,0,,,
profile_outcome,serve_number,1,1,ALL,ALL,ALL,z|1|9,z,1,9,0,0,0,,,
profile_outcome,serve_number,1,1,ALL,ALL,ALL,z|2|7,z,2,7,1,0,1,0.0,0.0,0.7934506856227626
profile_outcome,serve_number,1,1,ALL,ALL,ALL,z|2|8,z,2,8,0,0,0,,,
profile_outcome,serve_number,1,1,ALL,ALL,ALL,z|2|9,z,2,9,0,0,0,,,
profile_outcome,serve_number,1,1,ALL,ALL,ALL,z|3|7,z,3,7,0,0,0,,,
profile_outcome,serve_number,1,1,ALL,ALL,ALL,z|3|8,z,3,8,0,0,0,,,
profile_outcome,serve_number,1,1,ALL,ALL,ALL,z|3|9,z,3,9,1,1,0,1.0,0.20654931437723745,1.0
profile_outcome,serve_number,1,1,ALL,ALL,ALL,o|1|7,o,1,7,0,0,0,,,
profile_outcome,serve_number,1,1,ALL,ALL,ALL,o|1|8,o,1,8,1,0,1,0.0,0.0,0.7934506856227626
profile_outcome,serve_number,1,1,ALL,ALL,ALL,o|1|9,o,1,9,0,0,0,,,
profile_outcome,serve_number,1,1,ALL,ALL,ALL,o|2|7,o,2,7,1,0,1,0.0,0.0,0.7934506856227626
profile_outcome,serve_number,1,1,ALL,ALL,ALL,o|2|8,o,2,8,0,0,0,,,
profile_outcome,serve_number,1,1,ALL,ALL,ALL,o|2|9,o,2,9,0,0,0,,,
profile_outcome,serve_number,1,1,ALL,ALL,ALL,o|3|7,o,3,7,0,0,0,,,
profile_outcome,serve_number,1,1,ALL,ALL,ALL,o|3|8,o,3,8,0,0,0,,,
profile_outcome,serve_number,1,1,ALL,ALL,ALL,o|3|9,o,3,9,1,1,0,1.0,0.20654931437723745,1.0
profile_outcome,serve_number,1,1,ALL,ALL,ALL,p|1|7,p,1,7,0,0,0,,,
profile_outcome,serve_number,1,1,ALL,ALL,ALL,p|1|8,p,1,8,0,0,0,,,
profile_outcome,serve_number,1,1,ALL,ALL,ALL,p|1|9,p,1,9,0,0,0,,,
profile_outcome,serve_number,1,1,ALL,ALL,ALL,p|2|7,p,2,7,0,0,0,,,
profile_outcome,serve_number,1,1,ALL,ALL,ALL,p|2|8,p,2,8,0,0,0,,,
profile_outcome,serve_number,1,1,ALL,ALL,ALL,p|2|9,p,2,9,0,0,0,,,
profile_outcome,serve_number,1,1,ALL,ALL,ALL,p|3|7,p,3,7,0,0,0,,,
