player,surface,year,matches,points
N Sriram Balaji,Hard,2017,1,107
Naoki Nakagawa,Hard,2024,1,108
Nattan Benjasupawan,Hard,2016,1,74
Neale Fraser,Grass,1960,1,288
Neil Borwick,Grass,1993,1,256
Nicholas Alan Van Aken,Clay,2025,1,73
Nick Hardt,Clay,2024,2,348
Nick Hardt,Hard,2022,1,79
Nick Kyrgios,Clay,2015,4,730
Nick Kyrgios,Clay,2016,2,438
Nick Kyrgios,Clay,2017,4,512
Nick Kyrgios,Clay,2018,1,150
Nick Kyrgios,Clay,2019,2,287
Nick Kyrgios,Clay,2022,2,220
Nick Kyrgios,Grass,2014,2,385
Nick Kyrgios,Grass,2018,3,554
Nick Kyrgios,Grass,2019,3,547
Nick Kyrgios,Grass,2022,13,2542
Nick Kyrgios,Grass,2023,1,126
Nick Kyrgios,Hard,2013,1,148
Nick Kyrgios,Hard,2014,2,551
Nick Kyrgios,Hard,2015,7,1446
Nick Kyrgios,Hard,2016,6,853
Nick Kyrgios,Hard,2017,12,1878
Nick Kyrgios,Hard,2018,10,1632
Nick Kyrgios,Hard,2019,15,2423
Nick Kyrgios,Hard,2020,2,508
Nick Kyrgios,Hard,2021,3,628
Nick Kyrgios,Hard,2022,20,2782
Nick Kyrgios,Hard,2024,1,218
Nick Kyrgios,Hard,2025,1,118
Nicola Kuhn,Clay,2022,1,186
Nicola Kuhn,Hard,2020,1,163
Nicola Pietrangeli,Clay,1960,1,251
Nicolai Budkov Kjaer,Clay,2024,2,287
Nicolai Budkov Kjaer,Hard,2026,1,90
Nicolas Almagro,Clay,2006,1,267
Nicolas Almagro,Clay,2010,1,160
Nicolas Almagro,Clay,2011,2,439
Nicolas Almagro,Clay,2012,1,188
Nicolas Almagro,Clay,2014,1,212
Nicolas Almagro,Clay,2015,4,509
Nicolas Almagro,Clay,2017,1,179
Nicolas Almagro,Clay,2019,1,96
Nicolas Almagro,Grass,2012,1,91
Nicolas Almagro,Hard,2012,2,421
Nicolas Almagro,Hard,2013,3,574
Nicolas Alvarez Varona,Clay,2021,1,103
Nicolas Arseneault,Hard,2025,1,151
Nicolas Devilder,Clay,2008,1,143
Nicolas Escude,Clay,1993,1,121
Nicolas Escude,Hard,1998,1,151
Nicolas Escude,Hard,2001,1,225
Nicolas Escude,Hard,2004,1,176
Nicolas Jarry,Clay,2019,4,660
Nicolas Jarry,Clay,2023,14,2013
Nicolas Jarry,Clay,2024,6,928
Nicolas Jarry,Clay,2025,2,499
Nicolas Jarry,Grass,2023,3,592
Nicolas Jarry,Grass,2025,1,289
Nicolas Jarry,Hard,2019,1,131
Nicolas Jarry,Hard,2020,1,201
Nicolas Jarry,Hard,2022,3,416
Nicolas Jarry,Hard,2023,7,1001
Nicolas Jarry,Hard,2024,4,522
Nicolas Jarry,Hard,2025,2,327
Nicolas Kiefer,Grass,2003,1,95
Nicolas Kiefer,Hard,1999,2,258
Nicolas Kiefer,Hard,2004,1,129
Nicolas Kiefer,Hard,2005,2,300
Nicolas Kiefer,Hard,2006,1,228
Nicolas Kiefer,Hard,2007,1,123
Nicolas Kiefer,Hard,2008,2,330
Nicolas Lapentti,Clay,2000,1,222
Nicolas Lapentti,Hard,1999,2,331
Nicolas Lapentti,Hard,2000,1,137
Nicolas Lapentti,Hard,2001,1,86
Nicolas Mahut,Grass,2007,2,366
Nicolas Mahut,Grass,2010,1,980
Nicolas Mahut,Grass,2019,2,489
Nicolas Mahut,Hard,2017,1,131
Nicolas Mahut,Hard,2018,1,169
Nicolas Mahut,Hard,2021,1,131
Nicolas Massu,Clay,2000,1,113
Nicolas Massu,Clay,2003,1,159
Nicolas Massu,Clay,2004,1,166
Nicolas Massu,Clay,2006,2,381
Nicolas Massu,Clay,2007,2,303
Nicolas Massu,Hard,2000,1,251
Nicolas Massu,Hard,2003,1,172
Nicolas Massu,Hard,2004,1,304
Nicolas Massu,Hard,2006,1,133
Nicolas Massu,Hard,2007,1,128
Nicolas Massu,Hard,2009,1,183
Nicolas Mejia,Clay,2023,1,223
Nicolas Mejia,Clay,2024,1,126
Nicolas Mejia,Hard,2021,1,207
Nicolas Mejia,Hard,2025,1,169
Nicolas Moreno De Alboran,Clay,2024,1,253
Nicolas Thomann,Hard,2004,1,154
Niels Mcdonald,Clay,2025,1,168
Niels Visker,Hard,2024,1,112
Nikola Cacic,Clay,2014,1,107
Nikola Milojevic,Clay,2017,1,245
Nikola Milojevic,Clay,2019,2,371
Nikola Milojevic,Hard,2016,1,92
Nikola Pilic,Clay,1973,1,135
Nikolas Sanchez Izquierdo,Hard,2025,1,121
Nikolay Davydenko,Clay,2003,1,284
Nikolay Davydenko,Clay,2005,1,109
Nikolay Davydenko,Clay,2007,4,866
Nikolay Davydenko,Clay,2008,3,399
Nikolay Davydenko,Clay,2009,1,112
Nikolay Davydenko,Clay,2011,3,416
Nikolay Davydenko,Hard,2002,2,423
Nikolay Davydenko,Hard,2004,2,353
Nikolay Davydenko,Hard,2005,2,216
Nikolay Davydenko,Hard,2006,8,1691
Nikolay Davydenko,Hard,2007,4,649
Nikolay Davydenko,Hard,2008,7,1126
Nikolay Davydenko,Hard,2009,9,1397
Nikolay Davydenko,Hard,2010,7,1306
Nikolay Davydenko,Hard,2011,4,482
Nikolay Davydenko,Hard,2012,5,762
Nikolay Davydenko,Hard,2013,4,586
Nikolay Davydenko,Hard,2014,1,207
Nikoloz Basilashvili,Clay,2019,3,444
Nikoloz Basilashvili,Clay,2020,1,113
Nikoloz Basilashvili,Clay,2021,1,140
Nikoloz Basilashvili,Clay,2022,1,85
Nikoloz Basilashvili,Grass,2022,2,321
Nikoloz Basilashvili,Hard,2017,1,92
Nikoloz Basilashvili,Hard,2018,2,534
Nikoloz Basilashvili,Hard,2019,11,1870
Nikoloz Basilashvili,Hard,2020,2,267
Nikoloz Basilashvili,Hard,2021,5,805
Nikoloz Basilashvili,Hard,2022,1,89
Nikoloz Basilashvili,Hard,2025,1,39
Nino Serdarusic,Hard,2021,1,109
Nishesh Basavareddy,Hard,2024,15,1743
Nishesh Basavareddy,Hard,2025,5,858
Noah Rubin,Hard,2016,1,101
Norbert Gombos,Clay,2019,1,114
Norbert Gombos,Hard,2019,1,145
Norbert Gombos,Hard,2020,1,144
Novak Djokovic,Clay,2006,3,438
Novak Djokovic,Clay,2007,3,455
Novak Djokovic,Clay,2008,6,961
Novak Djokovic,Clay,2009,6,985
Novak Djokovic,Clay,2010,2,240
Novak Djokovic,Clay,2011,7,1187
Novak Djokovic,Clay,2012,11,1838
Novak Djokovic,Clay,2013,3,553
Novak Djokovic,Clay,2014,5,978
Novak Djokovic,Clay,2015,7,1313
Novak Djokovic,Clay,2016,6,842
Novak Djokovic,Clay,2017,8,1283
Novak Djokovic,Clay,2018,6,986
Novak Djokovic,Clay,2019,5,1027
Novak Djokovic,Clay,2020,2,484
Novak Djokovic,Clay,2021,5,1207
Novak Djokovic,Clay,2022,10,1501
Novak Djokovic,Clay,2023,10,1953
Novak Djokovic,Clay,2024,16,2332
Novak Djokovic,Clay,2025,8,1396
Novak Djokovic,Grass,2007,2,435
Novak Djokovic,Grass,2008,2,364
Novak Djokovic,Grass,2009,1,248
Novak Djokovic,Grass,2010,1,190
Novak Djokovic,Grass,2011,2,430
Novak Djokovic,Grass,2012,7,1064
Novak Djokovic,Grass,2013,2,578
Novak Djokovic,Grass,2014,4,1224
Novak Djokovic,Grass,2015,3,661
Novak Djokovic,Grass,2016,3,652
Novak Djokovic,Grass,2017,1,93
Novak Djokovic,Grass,2018,6,1208
Novak Djokovic,Grass,2019,6,1392
Novak Djokovic,Grass,2021,3,690
Novak Djokovic,Grass,2022,3,727
Novak Djokovic,Grass,2023,3,807
Novak Djokovic,Grass,2024,4,774
Novak Djokovic,Grass,2025,5,1098
Novak Djokovic,Hard,2005,2,443
Novak Djokovic,Hard,2006,2,356
Novak Djokovic,Hard,2007,17,2527
Novak Djokovic,Hard,2008,13,1964
Novak Djokovic,Hard,2009,15,2454
Novak Djokovic,Hard,2010,15,2680
Novak Djokovic,Hard,2011,16,2593
Novak Djokovic,Hard,2012,23,4020
Novak Djokovic,Hard,2013,28,4351
Novak Djokovic,Hard,2014,11,1817
Novak Djokovic,Hard,2015,41,5992
Novak Djokovic,Hard,2016,19,3134
Novak Djokovic,Hard,2017,5,1126
Novak Djokovic,Hard,2018,13,2207
Novak Djokovic,Hard,2019,17,2369
Novak Djokovic,Hard,2020,10,1891
Novak Djokovic,Hard,2021,20,3448
Novak Djokovic,Hard,2022,18,2302
Novak Djokovic,Hard,2023,32,5460
Novak Djokovic,Hard,2024,18,2954
Novak Djokovic,Hard,2025,24,3693
Novak Djokovic,Hard,2026,6,1228
Nuno Borges,Clay,2021,1,135
Nuno Borges,Clay,2022,4,607
Nuno Borges,Clay,2023,1,112
Nuno Borges,Clay,2024,1,112
Nuno Borges,Clay,2025,1,346
Nuno Borges,Grass,2025,1,229
Nuno Borges,Hard,2022,1,367
Nuno Borges,Hard,2024,4,691
Nuno Borges,Hard,2025,3,472
Nuno Borges,Hard,2026,1,196
Oleksandr Ovcharenko,Clay,2022,1,143
Oleksandr Ovcharenko,Hard,2025,1,162
Oleksii Krutykh,Clay,2022,1,80
Oleksii Krutykh,Hard,2023,1,291
Oliver Tarvet,Grass,2025,1,173
Olivier Delaitre,Hard,1991,1,103
Olivier Delaitre,Hard,1994,1,92
Olivier Rochus,Hard,2005,2,306
Omar Camporese,Hard,1991,2,630
Omar Camporese,Hard,1997,1,319
Omar Jasika,Hard,2024,1,190
Oscar Otte,Clay,2017,1,150
Oscar Otte,Clay,2021,1,197
Oscar Otte,Grass,2023,1,122
Oscar Otte,Hard,2021,1,119
Oscar Otte,Hard,2022,2,325
Otto Virtanen,Clay,2024,1,301
Otto Virtanen,Clay,2025,1,118
Otto Virtanen,Grass,2024,1,300
Otto Virtanen,Hard,2022,3,431
Otto Virtanen,Hard,2023,1,190
Otto Virtanen,Hard,2024,2,348
Otto Virtanen,Hard,2025,2,487
Ozan Baris,Hard,2024,1,104
Ozan Baris,Hard,2025,1,166
Pablo Andujar,Clay,2013,1,95
Pablo Andujar,Clay,2014,1,214
Pablo Andujar,Clay,2015,1,133
Pablo Andujar,Clay,2019,2,400
Pablo Andujar,Clay,2022,1,310
Pablo Andujar,Clay,2023,1,142
Pablo Andujar,Hard,2019,2,207
Pablo Andujar,Hard,2021,1,166
Pablo Andujar,Hard,2022,2,199
Pablo Carreno Busta,Clay,2015,4,626
Pablo Carreno Busta,Clay,2017,3,498
Pablo Carreno Busta,Clay,2018,4,580
Pablo Carreno Busta,Clay,2022,2,381
Pablo Carreno Busta,Grass,2022,1,102
Pablo Carreno Busta,Hard,2016,2,268
Pablo Carreno Busta,Hard,2017,1,105
Pablo Carreno Busta,Hard,2018,1,125
Pablo Carreno Busta,Hard,2019,2,369
Pablo Carreno Busta,Hard,2020,4,735
Pablo Carreno Busta,Hard,2021,6,999
Pablo Carreno Busta,Hard,2022,8,1604
Pablo Carreno Busta,Hard,2024,2,329
Pablo Carreno Busta,Hard,2025,1,102
Pablo Carreno Busta,Hard,2026,1,108
Pablo Cuevas,Clay,2015,2,257
Pablo Cuevas,Clay,2016,2,234
Pablo Cuevas,Clay,2019,2,225
Pablo Cuevas,Clay,2021,1,101
Pablo Cuevas,Grass,2015,1,174
Pablo Cuevas,Hard,2015,1,163
Pablo Cuevas,Hard,2017,2,344
Pablo Llamas Ruiz,Clay,2024,1,148
Paolo Cane,Clay,1987,1,111
Paolo Lorenzi,Clay,2014,1,115
Paolo Lorenzi,Clay,2016,1,209
Paolo Lorenzi,Clay,2019,1,122
Paolo Lorenzi,Grass,2014,1,167
Paolo Lorenzi,Grass,2017,1,98
Paolo Lorenzi,Grass,2019,1,204
Paolo Lorenzi,Hard,2017,1,86
Paolo Lorenzi,Hard,2019,2,635
Paradorn Srichaphan,Clay,2004,1,83
Paradorn Srichaphan,Grass,2003,1,182
Paradorn Srichaphan,Hard,2002,2,330
Paradorn Srichaphan,Hard,2003,1,241
Paradorn Srichaphan,Hard,2006,2,298
Pat Cash,Grass,1984,1,204
Pat Cash,Grass,1986,1,172
Pat Cash,Grass,1987,6,1285
Pat Cash,Grass,1988,1,161
Pat Cash,Grass,1990,1,184
Pat Cash,Grass,1992,2,541
Pat Cash,Hard,1984,1,327
Pat Cash,Hard,1988,2,619
Pat Cash,Hard,1991,1,223
Patrick Brady,Hard,2024,1,97
Patrick Kaukovalta,Hard,2023,1,107
Patrick Kypson,Hard,2024,2,257
Patrick Mcenroe,Hard,1991,2,610
Patrick Rafter,Clay,1995,2,403
Patrick Rafter,Clay,1997,2,468
Patrick Rafter,Clay,1999,1,200
Patrick Rafter,Grass,1996,2,408
Patrick Rafter,Grass,1998,2,333
Patrick Rafter,Grass,1999,3,664
Patrick Rafter,Grass,2000,3,722
Patrick Rafter,Grass,2001,4,1001
Patrick Rafter,Hard,1993,1,211
Patrick Rafter,Hard,1995,2,346
Patrick Rafter,Hard,1997,10,2096
Patrick Rafter,Hard,1998,9,1472
Patrick Rafter,Hard,1999,2,217
Patrick Rafter,Hard,2000,1,174
Patrick Rafter,Hard,2001,9,1518
Patrik Kuhnen,Clay,1990,1,201
Paul Annacone,Hard,1986,1,210
Paul Capdeville,Hard,2007,1,156
Paul Chamberlin,Grass,1989,1,123
Paul Haarhuis,Grass,1997,1,427
Paul Haarhuis,Hard,1991,1,217
Paul Haarhuis,Hard,1994,1,114
Paul Haarhuis,Hard,1996,1,185
Paul Henri Mathieu,Clay,2002,2,513
Paul Henri Mathieu,Clay,2009,1,112
Paul Henri Mathieu,Clay,2015,1,178
Paul Henri Mathieu,Grass,2005,1,166
Paul Henri Mathieu,Hard,2005,1,133
Paul Henri Mathieu,Hard,2013,1,163
Paul Henri Mathieu,Hard,2015,1,185
Paul Henri Mathieu,Hard,2016,1,86
Paul Jubb,Clay,2022,1,226
Paul Jubb,Grass,2022,1,318
Paul Jubb,Grass,2024,1,341
Paul Jubb,Hard,2022,1,209
Pavel Kotov,Clay,2022,1,205
Pavel Kotov,Clay,2024,2,300
Pavel Kotov,Hard,2021,1,107
Pavel Kotov,Hard,2023,1,102
Pavel Kotov,Hard,2024,2,244
Pavel Tsoy,Hard,2016,1,92
Pedja Krstin,Clay,2016,1,110
Pedro Araujo,Clay,2024,1,112
Pedro Cachin,Clay,2019,3,380
Pedro Cachin,Clay,2022,1,157
Pedro Cachin,Hard,2022,1,309
Pedro Cachin,Hard,2024,1,217
Pedro Martinez,Clay,2019,3,435
Pedro Martinez,Clay,2022,3,476
Pedro Martinez,Clay,2023,2,397
Pedro Martinez,Clay,2024,5,722
Pedro Martinez,Clay,2025,3,300
Pedro Martinez,Grass,2025,1,153
Pedro Martinez,Hard,2020,1,192
Pedro Martinez,Hard,2021,1,83
Pedro Martinez,Hard,2022,6,1023
Pedro Martinez,Hard,2023,1,154
Pedro Martinez,Hard,2024,1,318
Pedro Martinez,Hard,2025,2,238
Pedro Martinez,Hard,2026,1,120
Pedro Sousa,Clay,2019,2,232
Pete Sampras,Clay,1991,2,465
Pete Sampras,Clay,1992,4,820
Pete Sampras,Clay,1994,1,144
Pete Sampras,Clay,1995,2,498
Pete Sampras,Clay,1996,2,614
Pete Sampras,Clay,1998,1,127
Pete Sampras,Clay,1999,1,401
Pete Sampras,Clay,2002,2,329
Pete Sampras,Grass,1992,2,380
Pete Sampras,Grass,1993,5,977
Pete Sampras,Grass,1994,7,1295
Pete Sampras,Grass,1995,7,1505
Pete Sampras,Grass,1996,2,407
Pete Sampras,Grass,1997,7,1404
Pete Sampras,Grass,1998,2,560
Pete Sampras,Grass,1999,6,1190
Pete Sampras,Grass,2000,7,1275
Pete Sampras,Grass,2001,1,370
Pete Sampras,Hard,1990,11,1856
Pete Sampras,Hard,1991,11,2085
Pete Sampras,Hard,1992,14,2636
Pete Sampras,Hard,1993,14,2494
Pete Sampras,Hard,1994,19,4000
Pete Sampras,Hard,1995,17,3513
Pete Sampras,Hard,1996,16,2918
Pete Sampras,Hard,1997,18,3158
Pete Sampras,Hard,1998,15,2398
Pete Sampras,Hard,1999,7,887
Pete Sampras,Hard,2000,16,2837
Pete Sampras,Hard,2001,8,1435
Pete Sampras,Hard,2002,8,1631
Peter Bertran,Hard,2022,1,79
Peter Doohan,Grass,1987,1,258
Peter Fajta,Clay,2024,1,88
Peter Gojowczyk,Grass,2014,1,130
Peter Gojowczyk,Grass,2021,1,87
Peter Gojowczyk,Hard,2014,1,156
Peter Gojowczyk,Hard,2016,1,151
Peter Gojowczyk,Hard,2017,1,105
Peter Gojowczyk,Hard,2019,3,439
Peter Gojowczyk,Hard,2021,2,443
Peter Gojowczyk,Hard,2022,2,226
Peter Lundgren,Hard,1990,1,117
Peter Polansky,Hard,2013,1,167
Peter Polansky,Hard,2014,1,92
Peter Polansky,Hard,2016,1,101
Peter Polansky,Hard,2019,1,193
Petr Korda,Clay,1992,2,374
Petr Korda,Grass,1995,1,199
Petr Korda,Grass,1997,1,346
Petr Korda,Hard,1991,4,588
Petr Korda,Hard,1992,1,154
Petr Korda,Hard,1993,3,815
Petr Korda,Hard,1994,4,702
Petr Korda,Hard,1996,1,164
Petr Korda,Hard,1997,5,1234
Petr Korda,Hard,1998,2,360
Petr Korda,Hard,1999,1,332
Petros Tsitsipas,Clay,2024,1,96
Philipp Kohlschreiber,Clay,2012,1,203
Philipp Kohlschreiber,Clay,2014,1,129
Philipp Kohlschreiber,Clay,2015,3,494
Philipp Kohlschreiber,Clay,2016,2,463
Philipp Kohlschreiber,Clay,2017,5,826
Philipp Kohlschreiber,Clay,2018,8,1313
Philipp Kohlschreiber,Clay,2019,2,372
Philipp Kohlschreiber,Grass,2008,1,116
Philipp Kohlschreiber,Grass,2014,1,97
Philipp Kohlschreiber,Grass,2016,1,210
Philipp Kohlschreiber,Grass,2019,1,176
Philipp Kohlschreiber,Hard,2015,4,580
Philipp Kohlschreiber,Hard,2017,2,254
Philipp Kohlschreiber,Hard,2018,3,555
Philipp Kohlschreiber,Hard,2019,4,451
Philipp Petzschner,Grass,2010,2,449
Pierre Hugues Herbert,Clay,2018,1,153
Pierre Hugues Herbert,Clay,2019,1,96
Pierre Hugues Herbert,Clay,2021,1,305
Pierre Hugues Herbert,Clay,2024,1,184
Pierre Hugues Herbert,Grass,2014,1,97
Pierre Hugues Herbert,Grass,2017,1,180
Pierre Hugues Herbert,Grass,2019,1,172
Pierre Hugues Herbert,Hard,2015,1,140
Pierre Hugues Herbert,Hard,2019,2,412
Pierre Hugues Herbert,Hard,2020,2,346
Pierre Hugues Herbert,Hard,2021,1,235
Pierre Hugues Herbert,Hard,2025,2,200
Pol Martin Tiffon,Clay,2024,1,115
Potito Starace,Clay,2004,1,165
Potito Starace,Clay,2012,1,188
Prajnesh Gunneswaran,Clay,2020,1,155
Prajnesh Gunneswaran,Grass,2019,1,105
Prajnesh Gunneswaran,Hard,2019,2,254
Prajnesh Gunneswaran,Hard,2020,2,258
Preston Stearns,Hard,2025,1,134
Quentin Halys,Clay,2017,1,189
Quentin Halys,Clay,2024,1,80
Quentin Halys,Grass,2023,1,213
Quentin Halys,Grass,2025,2,242
Quentin Halys,Hard,2022,1,111
Quentin Halys,Hard,2023,4,723
Quentin Halys,Hard,2024,1,135
Quentin Halys,Hard,2025,1,97
Quentin Halys,Hard,2026,1,116
Radek Stepanek,Clay,2004,1,172
Radek Stepanek,Clay,2006,1,193
Radek Stepanek,Clay,2008,1,35
Radek Stepanek,Clay,2011,1,99
Radek Stepanek,Grass,2006,1,355
Radek Stepanek,Grass,2014,1,290
Radek Stepanek,Hard,2004,1,191
Radek Stepanek,Hard,2005,1,141
Radek Stepanek,Hard,2007,1,129
Radek Stepanek,Hard,2008,1,162
Radek Stepanek,Hard,2009,3,524
Radek Stepanek,Hard,2013,1,192
Radek Stepanek,Hard,2014,2,361
Radu Albot,Clay,2022,1,246
Radu Albot,Clay,2023,1,88
Radu Albot,Clay,2024,2,228
Radu Albot,Grass,2024,2,463
Radu Albot,Hard,2016,1,110
Radu Albot,Hard,2019,7,896
Radu Albot,Hard,2021,1,123
Radu Albot,Hard,2022,1,103
Radu Albot,Hard,2023,1,118
Radu Albot,Hard,2024,1,176
Rafael Arevalo,Hard,2008,1,106
Rafael Jodar,Clay,2026,6,805
Rafael Jodar,Hard,2025,1,175
Rafael Jodar,Hard,2026,3,317
Rafael Nadal,Clay,2003,1,88
Rafael Nadal,Clay,2004,1,300
Rafael Nadal,Clay,2005,4,918
Rafael Nadal,Clay,2006,7,1475
Rafael Nadal,Clay,2007,11,1791
Rafael Nadal,Clay,2008,8,1277
Rafael Nadal,Clay,2009,6,1044
Rafael Nadal,Clay,2010,9,1243
Rafael Nadal,Clay,2011,12,2186
Rafael Nadal,Clay,2012,4,591
Rafael Nadal,Clay,2013,10,1401
Rafael Nadal,Clay,2014,28,4079
Rafael Nadal,Clay,2015,10,1323
Rafael Nadal,Clay,2016,6,998
Rafael Nadal,Clay,2017,14,1891
Rafael Nadal,Clay,2018,10,1224
Rafael Nadal,Clay,2019,6,859
Rafael Nadal,Clay,2021,7,1213
Rafael Nadal,Clay,2022,5,949
Rafael Nadal,Clay,2024,7,936
Rafael Nadal,Grass,2003,1,182
Rafael Nadal,Grass,2005,1,224
Rafael Nadal,Grass,2006,5,989
Rafael Nadal,Grass,2007,4,724
Rafael Nadal,Grass,2008,5,1038
Rafael Nadal,Grass,2010,3,663
Rafael Nadal,Grass,2011,4,839
Rafael Nadal,Grass,2012,1,276
Rafael Nadal,Grass,2013,1,238
Rafael Nadal,Grass,2014,4,852
Rafael Nadal,Grass,2015,1,249
Rafael Nadal,Grass,2017,1,389
Rafael Nadal,Grass,2018,2,727
Rafael Nadal,Grass,2019,5,923
Rafael Nadal,Grass,2022,1,189
Rafael Nadal,Hard,2004,4,536
Rafael Nadal,Hard,2005,8,1638
Rafael Nadal,Hard,2006,6,982
Rafael Nadal,Hard,2007,12,1936
Rafael Nadal,Hard,2008,11,1723
Rafael Nadal,Hard,2009,15,2518
Rafael Nadal,Hard,2010,12,1985
Rafael Nadal,Hard,2011,11,1805
Rafael Nadal,Hard,2012,5,1236
Rafael Nadal,Hard,2013,13,1777
Rafael Nadal,Hard,2014,17,2672
Rafael Nadal,Hard,2015,15,2418
Rafael Nadal,Hard,2016,8,1483
Rafael Nadal,Hard,2017,28,4454
Rafael Nadal,Hard,2018,9,1913
Rafael Nadal,Hard,2019,13,1963
Rafael Nadal,Hard,2020,6,1039
Rafael Nadal,Hard,2021,1,287
Rafael Nadal,Hard,2022,17,3128
Rafael Nadal,Hard,2023,2,431
Rafael Nadal,Hard,2024,5,684
Rainer Schuettler,Grass,2008,1,164
Rainer Schuettler,Hard,2003,4,665
Rainer Schuettler,Hard,2004,1,130
Ramkumar Ramanathan,Hard,2016,1,107
Raphael Collignon,Clay,2024,1,183
Raphael Collignon,Hard,2024,2,357
Raphael Collignon,Hard,2025,3,758
Raul Brancaccio,Clay,2022,1,109
Raul Ramirez,Clay,1976,1,335
Rei Sakamoto,Hard,2024,2,363
Reilly Opelka,Clay,2020,1,187
Reilly Opelka,Clay,2021,5,706
Reilly Opelka,Clay,2022,5,704
Reilly Opelka,Clay,2025,1,102
Reilly Opelka,Grass,2019,2,468
Reilly Opelka,Grass,2022,2,411
Reilly Opelka,Grass,2024,1,89
Reilly Opelka,Grass,2025,1,99
Reilly Opelka,Hard,2019,10,1771
Reilly Opelka,Hard,2020,2,281
Reilly Opelka,Hard,2021,13,1742
Reilly Opelka,Hard,2022,6,867
Reilly Opelka,Hard,2024,1,249
Reilly Opelka,Hard,2025,7,989
Renzo Furlan,Hard,1997,1,292
Renzo Olivo,Clay,2014,1,129
Renzo Olivo,Clay,2016,1,144
Renzo Olivo,Clay,2021,1,218
Ricardas Berankis,Grass,2021,1,142
Ricardas Berankis,Hard,2013,1,141
Ricardas Berankis,Hard,2014,1,205
Ricardas Berankis,Hard,2018,1,160
Ricardas Berankis,Hard,2019,3,397
Ricardas Berankis,Hard,2022,1,121
Ricardo Hocevar,Clay,2014,1,105
Riccardo Bonadio,Clay,2019,2,359
Richard Gasquet,Clay,2002,1,211
Richard Gasquet,Clay,2005,3,522
Richard Gasquet,Clay,2007,1,161
Richard Gasquet,Clay,2011,3,456
Richard Gasquet,Clay,2012,1,97
Richard Gasquet,Clay,2013,2,505
Richard Gasquet,Clay,2014,1,166
Richard Gasquet,Clay,2015,3,369
Richard Gasquet,Clay,2016,2,396
Richard Gasquet,Clay,2018,1,152
Richard Gasquet,Clay,2019,1,178
Richard Gasquet,Clay,2021,1,104
Richard Gasquet,Clay,2022,1,107
Richard Gasquet,Clay,2023,2,326
Richard Gasquet,Clay,2024,2,404
Richard Gasquet,Clay,2025,2,362
Richard Gasquet,Grass,2006,1,139
Richard Gasquet,Grass,2007,2,524
Richard Gasquet,Grass,2008,1,375
Richard Gasquet,Grass,2015,2,534
Richard Gasquet,Grass,2017,1,172
Richard Gasquet,Grass,2019,1,194
Richard Gasquet,Grass,2021,1,190
Richard Gasquet,Grass,2023,2,424
Richard Gasquet,Grass,2024,1,113
Richard Gasquet,Hard,2006,4,947
Richard Gasquet,Hard,2007,3,344
Richard Gasquet,Hard,2008,2,407
Richard Gasquet,Hard,2009,1,382
Richard Gasquet,Hard,2011,2,225
Richard Gasquet,Hard,2012,3,350
Richard Gasquet,Hard,2013,5,665
Richard Gasquet,Hard,2014,1,207
Richard Gasquet,Hard,2015,4,505
Richard Gasquet,Hard,2016,2,180
Richard Gasquet,Hard,2017,5,596
Richard Gasquet,Hard,2018,4,630
Richard Gasquet,Hard,2019,3,347
Richard Gasquet,Hard,2021,4,529
Richard Gasquet,Hard,2022,4,596
Richard Gasquet,Hard,2023,4,503
Richard Gasquet,Hard,2024,2,204
Richard Gasquet,Hard,2025,2,286
Richard Krajicek,Clay,1993,1,222
Richard Krajicek,Clay,1996,2,437
Richard Krajicek,Grass,1993,1,241
Richard Krajicek,Grass,1996,4,750
Richard Krajicek,Grass,1997,1,295
Richard Krajicek,Grass,1998,2,554
Richard Krajicek,Hard,1992,3,927
Richard Krajicek,Hard,1994,2,455
Richard Krajicek,Hard,1995,4,942
Richard Krajicek,Hard,1996,2,375
Richard Krajicek,Hard,1997,2,322
Richard Krajicek,Hard,1998,4,665
Richard Krajicek,Hard,1999,3,688
Richard Krajicek,Hard,2000,1,241
Richey Reneberg,Grass,1994,1,155
Richey Reneberg,Hard,1993,1,112
Richey Reneberg,Hard,1996,1,126
Rinky Hijikata,Grass,2024,2,386
Rinky Hijikata,Hard,2023,3,535
Rinky Hijikata,Hard,2024,5,872
Rinky Hijikata,Hard,2025,1,112
Rinky Hijikata,Hard,2026,1,163
Rio Noguchi,Hard,2022,1,91
Robby Ginepri,Clay,2014,1,138
Robby Ginepri,Hard,2001,1,172
Robby Ginepri,Hard,2005,3,632
Robert Kendrick,Hard,2007,1,175
Roberto Bautista Agut,Clay,2014,1,128
Roberto Bautista Agut,Clay,2015,1,141
Roberto Bautista Agut,Clay,2018,1,107
Roberto Bautista Agut,Clay,2019,2,350
Roberto Bautista Agut,Clay,2020,1,113
Roberto Bautista Agut,Clay,2021,2,346
Roberto Bautista Agut,Clay,2022,1,198
Roberto Bautista Agut,Clay,2023,3,430
Roberto Bautista Agut,Clay,2024,1,168
Roberto Bautista Agut,Clay,2025,2,342
Roberto Bautista Agut,Grass,2018,1,26
Roberto Bautista Agut,Grass,2019,4,836
Roberto Bautista Agut,Grass,2022,1,122
Roberto Bautista Agut,Grass,2023,2,513
Roberto Bautista Agut,Grass,2025,2,272
Roberto Bautista Agut,Hard,2013,2,281
Roberto Bautista Agut,Hard,2014,1,105
Roberto Bautista Agut,Hard,2015,6,802
