profile_id,return_shot_type_code,return_shot_type_description,return_shot_type_family,return_lateral_direction_code,return_lateral_direction_description,return_depth_code,return_depth_description,complete_profile_attempts,share_of_complete_profiles,share_of_all_attempts
y|2|8,y,dejada de revés,drop_shot,2,centre,8,behind_service_line_closer_to_service_line,2,3.3264254564687333e-06,1.4016762646448889e-06
y|2|9,y,dejada de revés,drop_shot,2,centre,9,closer_to_baseline,0,0.0,0.0
y|3|7,y,dejada de revés,drop_shot,3,left_side_of_right_handed_opponent_or_right_of_left_handed,7,service_boxes,104,0.00017297412373637412,7.288716576153421e-05
y|3|8,y,dejada de revés,drop_shot,3,left_side_of_right_handed_opponent_or_right_of_left_handed,8,behind_service_line_closer_to_service_line,0,0.0,0.0
y|3|9,y,dejada de revés,drop_shot,3,left_side_of_right_handed_opponent_or_right_of_left_handed,9,closer_to_baseline,0,0.0,0.0
l|1|7,l,globo de derecha,lob,1,right_side_of_right_handed_opponent_or_left_of_left_handed,7,service_boxes,62,0.00010311918915053073,4.345196420399155e-05
l|1|8,l,globo de derecha,lob,1,right_side_of_right_handed_opponent_or_left_of_left_handed,8,behind_service_line_closer_to_service_line,48,7.98342109552496e-05,3.364023035147733e-05
l|1|9,l,globo de derecha,lob,1,right_side_of_right_handed_opponent_or_left_of_left_handed,9,closer_to_baseline,41,6.819172185760903e-05,2.8734363425220222e-05
l|2|7,l,globo de derecha,lob,2,centre,7,service_boxes,100,0.00016632127282343668,7.008381323224444e-05
l|2|8,l,globo de derecha,lob,2,centre,8,behind_service_line_closer_to_service_line,77,0.00012806738007404623,5.396453618882822e-05
l|2|9,l,globo de derecha,lob,2,centre,9,closer_to_baseline,72,0.0001197513164328744,5.0460345527216e-05
l|3|7,l,globo de derecha,lob,3,left_side_of_right_handed_opponent_or_right_of_left_handed,7,service_boxes,52,8.648706186818706e-05,3.644358288076711e-05
l|3|8,l,globo de derecha,lob,3,left_side_of_right_handed_opponent_or_right_of_left_handed,8,behind_service_line_closer_to_service_line,30,4.9896381847030996e-05,2.1025143969673334e-05
l|3|9,l,globo de derecha,lob,3,left_side_of_right_handed_opponent_or_right_of_left_handed,9,closer_to_baseline,31,5.1559594575265364e-05,2.1725982101995776e-05
m|1|7,m,globo de revés,lob,1,right_side_of_right_handed_opponent_or_left_of_left_handed,7,service_boxes,149,0.0002478186965069206,0.00010442488171604421
m|1|8,m,globo de revés,lob,1,right_side_of_right_handed_opponent_or_left_of_left_handed,8,behind_service_line_closer_to_service_line,88,0.00014636272008462426,6.16737556443751e-05
m|1|9,m,globo de revés,lob,1,right_side_of_right_handed_opponent_or_left_of_left_handed,9,closer_to_baseline,93,0.0001546787837257961,6.517794630598734e-05
m|2|7,m,globo de revés,lob,2,centre,7,service_boxes,235,0.00039085499113507613,0.00016469696109577443
m|2|8,m,globo de revés,lob,2,centre,8,behind_service_line_closer_to_service_line,217,0.0003609171620268576,0.00015208187471397043
m|2|9,m,globo de revés,lob,2,centre,9,closer_to_baseline,155,0.00025779797287632685,0.00010862991050997889
