scope,direction,metric,threshold,stratum_type,stratum,eligible_rows,total_rows,coverage_rate,complete_matches,total_matches,complete_match_rate,covered_players
server_global,body,direction_matches,0,overall,Overall,15048,15048,1.0,7524,7524,1.0,1002
server_global,body,direction_matches,0,surface,Hard,9646,9646,1.0,4823,4823,1.0,753
server_global,body,direction_matches,0,surface,Clay,3744,3744,1.0,1872,1872,1.0,587
server_global,body,direction_matches,0,surface,Grass,1658,1658,1.0,829,829,1.0,359
server_global,body,direction_matches,0,derived_period,to_2009,3912,3912,1.0,1956,1956,1.0,357
server_global,body,direction_matches,0,derived_period,2010s,4464,4464,1.0,2232,2232,1.0,412
server_global,body,direction_matches,0,derived_period,2020s,6672,6672,1.0,3336,3336,1.0,470
server_global,body,direction_matches,1,overall,Overall,14040,15048,0.9330143540669856,6635,7524,0.8818447634237108,604
server_global,body,direction_matches,1,surface,Hard,9104,9646,0.943810906075057,4346,4823,0.9010989010989011,512
server_global,body,direction_matches,1,surface,Clay,3394,3744,0.906517094017094,1567,1872,0.8370726495726496,406
server_global,body,direction_matches,1,surface,Grass,1542,1658,0.9300361881785284,722,829,0.8709288299155609,290
server_global,body,direction_matches,1,derived_period,to_2009,3553,3912,0.9082310838445807,1615,1956,0.8256646216768916,193
server_global,body,direction_matches,1,derived_period,2010s,4110,4464,0.9206989247311828,1937,2232,0.867831541218638,263
server_global,body,direction_matches,1,derived_period,2020s,6377,6672,0.9557853717026379,3083,3336,0.9241606714628298,338
server_global,body,direction_matches,3,overall,Overall,12955,15048,0.8609117490696439,5758,7524,0.76528442317916,402
server_global,body,direction_matches,3,surface,Hard,8487,9646,0.8798465685258138,3833,4823,0.794733568318474,368
server_global,body,direction_matches,3,surface,Clay,3054,3744,0.8157051282051282,1311,1872,0.7003205128205128,301
server_global,body,direction_matches,3,surface,Grass,1414,1658,0.8528347406513872,614,829,0.7406513872135102,238
server_global,body,direction_matches,3,derived_period,to_2009,3207,3912,0.8197852760736196,1314,1956,0.6717791411042945,126
server_global,body,direction_matches,3,derived_period,2010s,3716,4464,0.8324372759856631,1627,2232,0.7289426523297491,181
server_global,body,direction_matches,3,derived_period,2020s,6032,6672,0.9040767386091128,2817,3336,0.8444244604316546,243
server_global,body,direction_matches,5,overall,Overall,12182,15048,0.8095427963849017,5163,7524,0.6862041467304625,327
server_global,body,direction_matches,5,surface,Hard,8041,9646,0.8336097864399751,3473,4823,0.7200912295251918,312
server_global,body,direction_matches,5,surface,Clay,2813,3744,0.7513354700854701,1141,1872,0.6095085470085471,252
server_global,body,direction_matches,5,surface,Grass,1328,1658,0.8009650180940893,549,829,0.6622436670687576,206
server_global,body,direction_matches,5,derived_period,to_2009,2966,3912,0.7581799591002045,1126,1956,0.5756646216768916,102
server_global,body,direction_matches,5,derived_period,2010s,3437,4464,0.7699372759856631,1421,2232,0.6366487455197133,148
server_global,body,direction_matches,5,derived_period,2020s,5779,6672,0.8661570743405276,2616,3336,0.7841726618705036,212
server_global,body,direction_matches,10,overall,Overall,10715,15048,0.7120547581073897,4036,7524,0.5364167995746943,234
server_global,body,direction_matches,10,surface,Hard,7085,9646,0.7345013477088949,2717,4823,0.5633423180592992,223
server_global,body,direction_matches,10,surface,Clay,2439,3744,0.6514423076923077,882,1872,0.47115384615384615,191
server_global,body,direction_matches,10,surface,Grass,1191,1658,0.718335343787696,437,829,0.5271411338962606,158
server_global,body,direction_matches,10,derived_period,to_2009,2535,3912,0.6480061349693251,802,1956,0.4100204498977505,63
server_global,body,direction_matches,10,derived_period,2010s,2944,4464,0.6594982078853047,1062,2232,0.47580645161290325,95
server_global,body,direction_matches,10,derived_period,2020s,5236,6672,0.7847721822541966,2172,3336,0.6510791366906474,163
server_global,body,direction_matches,20,overall,Overall,8787,15048,0.5839314194577353,2750,7524,0.3654970760233918,151
server_global,body,direction_matches,20,surface,Hard,5854,9646,0.6068836823553805,1879,4823,0.3895915405349368,146
server_global,body,direction_matches,20,surface,Clay,1957,3744,0.5227029914529915,590,1872,0.31517094017094016,139
server_global,body,direction_matches,20,surface,Grass,976,1658,0.5886610373944512,281,829,0.33896260554885405,110
server_global,body,direction_matches,20,derived_period,to_2009,2038,3912,0.5209611451942741,499,1956,0.2551124744376278,40
server_global,body,direction_matches,20,derived_period,2010s,2358,4464,0.5282258064516129,699,2232,0.3131720430107527,56
server_global,body,direction_matches,20,derived_period,2020s,4391,6672,0.6581235011990407,1552,3336,0.46522781774580335,107
server_global,T,direction_points,0,overall,Overall,15048,15048,1.0,7524,7524,1.0,1002
server_global,T,direction_points,0,surface,Hard,9646,9646,1.0,4823,4823,1.0,753
server_global,T,direction_points,0,surface,Clay,3744,3744,1.0,1872,1872,1.0,587
server_global,T,direction_points,0,surface,Grass,1658,1658,1.0,829,829,1.0,359
server_global,T,direction_points,0,derived_period,to_2009,3912,3912,1.0,1956,1956,1.0,357
server_global,T,direction_points,0,derived_period,2010s,4464,4464,1.0,2232,2232,1.0,412
server_global,T,direction_points,0,derived_period,2020s,6672,6672,1.0,3336,3336,1.0,470
server_global,T,direction_points,10,overall,Overall,13557,15048,0.9009170653907496,6259,7524,0.8318713450292398,504
server_global,T,direction_points,10,surface,Hard,8842,9646,0.9166493883475015,4136,4823,0.8575575368028199,439
server_global,T,direction_points,10,surface,Clay,3218,3744,0.8595085470085471,1440,1872,0.7692307692307693,353
server_global,T,direction_points,10,surface,Grass,1497,1658,0.9028950542822678,683,829,0.8238841978287093,272
server_global,T,direction_points,10,derived_period,to_2009,3434,3912,0.8778118609406953,1514,1956,0.7740286298568507,171
server_global,T,direction_points,10,derived_period,2010s,3914,4464,0.8767921146953405,1784,2232,0.7992831541218638,212
server_global,T,direction_points,10,derived_period,2020s,6209,6672,0.93060551558753,2961,3336,0.887589928057554,290
server_global,T,direction_points,25,overall,Overall,12752,15048,0.8474215842636895,5597,7524,0.743886230728336,396
server_global,T,direction_points,25,surface,Hard,8373,9646,0.8680281982168775,3739,4823,0.7752436243002281,357
server_global,T,direction_points,25,surface,Clay,2974,3744,0.7943376068376068,1253,1872,0.6693376068376068,295
server_global,T,direction_points,25,surface,Grass,1405,1658,0.8474065138721351,605,829,0.729794933655006,235
server_global,T,direction_points,25,derived_period,to_2009,3215,3912,0.8218302658486708,1318,1956,0.6738241308793456,131
server_global,T,direction_points,25,derived_period,2010s,3600,4464,0.8064516129032258,1537,2232,0.6886200716845878,167
