aggregation_level,group_type,serve_number,surface,derived_period,validation_fold,shot_type_code,shot_type_description,shot_type_family,attempts,matches,servers,returners,returner_wins,returner_losses,returner_win_rate,wilson_95_lower,wilson_95_upper
code,serve_number,1,ALL,ALL,ALL,t,"golpe especial, incluido trick shot o tweener",special,13,11,10,9,2,11,0.153846153846154,0.0432581783580812,0.422346310194825
code,serve_number,2,ALL,ALL,ALL,t,"golpe especial, incluido trick shot o tweener",special,5,5,5,5,3,2,0.6,0.230724281276013,0.882379225767352
code,surface,0,Clay,ALL,ALL,f,"derecha, excluidos slices y golpes especiales",groundstroke,81683,1439,499,499,33540,48143,0.41061175519998,0.407242396020304,0.413989521639757
code,surface,0,Grass,ALL,ALL,f,"derecha, excluidos slices y golpes especiales",groundstroke,43037,705,316,316,15272,27765,0.35485744824221,0.350350133181228,0.359390671678438
code,surface,0,Hard,ALL,ALL,f,"derecha, excluidos slices y golpes especiales",groundstroke,204822,3849,643,642,78310,126512,0.382331976057259,0.380229659167054,0.384438706617784
code,surface,0,Clay,ALL,ALL,b,"revés, excluidos slices y golpes especiales",groundstroke,103753,1439,497,494,42216,61537,0.406889439341513,0.403903748082588,0.409882025189354
code,surface,0,Grass,ALL,ALL,b,"revés, excluidos slices y golpes especiales",groundstroke,48057,705,315,315,18406,29651,0.383003516657303,0.378666803888768,0.387358932268288
code,surface,0,Hard,ALL,ALL,b,"revés, excluidos slices y golpes especiales",groundstroke,232539,3849,639,642,94314,138225,0.405583579528595,0.403589498689873,0.407580779764921
code,surface,0,Clay,ALL,ALL,r,slice de derecha,slice,6126,1127,369,393,1725,4401,0.281586679725759,0.270463285459761,0.292983825207466
code,surface,0,Grass,ALL,ALL,r,slice de derecha,slice,6184,572,240,249,1931,4253,0.3122574385511,0.300826969066027,0.323921012042956
code,surface,0,Hard,ALL,ALL,r,slice de derecha,slice,25995,3298,542,558,7450,18545,0.286593575687632,0.281128686769098,0.29212152833863
code,surface,0,Clay,ALL,ALL,s,slice de revés,slice,21733,1394,462,456,6543,15190,0.301062899737726,0.294999813607674,0.307196300469834
code,surface,0,Grass,ALL,ALL,s,slice de revés,slice,21002,701,313,306,6072,14930,0.289115322350252,0.283023022761385,0.295284753322473
code,surface,0,Hard,ALL,ALL,s,slice de revés,slice,82209,3781,623,625,25024,57185,0.304394895935968,0.301258604769279,0.307549466703242
code,surface,0,Clay,ALL,ALL,v,volea de derecha,volley,5,5,5,5,2,3,0.4,0.117620774232648,0.769275718723987
code,surface,0,Grass,ALL,ALL,v,volea de derecha,volley,1,1,1,1,0,1,0,0,0.793450685622763
code,surface,0,Hard,ALL,ALL,v,volea de derecha,volley,16,16,14,13,4,12,0.25,0.10182067491213,0.494983165355088
code,surface,0,Clay,ALL,ALL,z,volea de revés,volley,1,1,1,1,1,0,1,0.206549314377237,1
code,surface,0,Grass,ALL,ALL,z,volea de revés,volley,1,1,1,1,0,1,0,0,0.793450685622763
code,surface,0,Hard,ALL,ALL,z,volea de revés,volley,1,1,1,1,0,1,0,0,0.793450685622763
code,surface,0,Clay,ALL,ALL,o,remate estándar,overhead,0,0,0,0,0,0,,,
code,surface,0,Grass,ALL,ALL,o,remate estándar,overhead,1,1,1,1,0,1,0,0,0.793450685622763
code,surface,0,Hard,ALL,ALL,o,remate estándar,overhead,4,4,4,4,2,2,0.5,0.150038989152149,0.849961010847851
code,surface,0,Clay,ALL,ALL,p,remate de revés,overhead,0,0,0,0,0,0,,,
code,surface,0,Grass,ALL,ALL,p,remate de revés,overhead,0,0,0,0,0,0,,,
code,surface,0,Hard,ALL,ALL,p,remate de revés,overhead,0,0,0,0,0,0,,,
code,surface,0,Clay,ALL,ALL,u,dejada de derecha,drop_shot,50,34,31,26,22,28,0.44,0.311621992112572,0.576939719783432
code,surface,0,Grass,ALL,ALL,u,dejada de derecha,drop_shot,14,10,10,8,5,9,0.357142857142857,0.163447317535541,0.612355768960926
code,surface,0,Hard,ALL,ALL,u,dejada de derecha,drop_shot,49,45,34,36,20,29,0.408163265306122,0.282152385203869,0.547526806081529
code,surface,0,Clay,ALL,ALL,y,dejada de revés,drop_shot,218,154,94,72,100,118,0.458715596330275,0.393855674690215,0.525005298837061
code,surface,0,Grass,ALL,ALL,y,dejada de revés,drop_shot,63,52,42,34,33,30,0.523809523809524,0.402703564367372,0.64217875946173
code,surface,0,Hard,ALL,ALL,y,dejada de revés,drop_shot,263,201,103,85,104,159,0.395437262357414,0.338257992850876,0.455627109400204
code,surface,0,Clay,ALL,ALL,l,globo de derecha,lob,301,190,124,120,68,233,0.225913621262458,0.182296965132824,0.276438074916135
code,surface,0,Grass,ALL,ALL,l,globo de derecha,lob,150,112,74,73,26,124,0.173333333333333,0.121120632263873,0.241859927389937
code,surface,0,Hard,ALL,ALL,l,globo de derecha,lob,542,390,180,178,92,450,0.169741697416974,0.140487177753776,0.203644723158498
code,surface,0,Clay,ALL,ALL,m,globo de revés,lob,752,378,197,197,140,612,0.186170212765957,0.159969942113524,0.215560475685414
