aggregation_level,group_type,serve_number,surface,derived_period,validation_fold,shot_type_code,shot_type_description,shot_type_family,attempts,matches,servers,returners,returner_wins,returner_losses,returner_win_rate,wilson_95_lower,wilson_95_upper
code,validation_fold,0,ALL,ALL,pre_validation,u,dejada de derecha,drop_shot,90,67,49,43,38,52,0.422222222222222,0.325424064674261,0.525388143746857
code,validation_fold,0,ALL,ALL,validation_2020,u,dejada de derecha,drop_shot,2,2,2,2,1,1,0.5,0.0945312057342307,0.905468794265769
code,validation_fold,0,ALL,ALL,validation_2021,u,dejada de derecha,drop_shot,4,4,4,4,2,2,0.5,0.150038989152149,0.849961010847851
code,validation_fold,0,ALL,ALL,validation_2022,u,dejada de derecha,drop_shot,11,10,9,7,2,9,0.181818181818182,0.0513676897460851,0.476980561960844
code,validation_fold,0,ALL,ALL,validation_2023,u,dejada de derecha,drop_shot,6,6,6,6,4,2,0.666666666666667,0.299993315138392,0.90322858889422
code,validation_fold,0,ALL,ALL,pre_validation,y,dejada de revés,drop_shot,465,340,147,117,206,259,0.443010752688172,0.398511199255202,0.488444190455183
code,validation_fold,0,ALL,ALL,validation_2020,y,dejada de revés,drop_shot,14,11,12,9,5,9,0.357142857142857,0.163447317535541,0.612355768960926
code,validation_fold,0,ALL,ALL,validation_2021,y,dejada de revés,drop_shot,22,17,15,13,13,9,0.590909090909091,0.387348184763151,0.767441838035281
code,validation_fold,0,ALL,ALL,validation_2022,y,dejada de revés,drop_shot,23,21,20,14,6,17,0.260869565217391,0.125486160449863,0.464700048374254
code,validation_fold,0,ALL,ALL,validation_2023,y,dejada de revés,drop_shot,20,18,12,15,7,13,0.35,0.181191824101082,0.567145723314764
code,validation_fold,0,ALL,ALL,pre_validation,l,globo de derecha,lob,476,384,163,173,101,375,0.21218487394958,0.177834442730374,0.251143618745578
code,validation_fold,0,ALL,ALL,validation_2020,l,globo de derecha,lob,31,22,22,21,4,27,0.129032258064516,0.0513428437462915,0.288524062563064
code,validation_fold,0,ALL,ALL,validation_2021,l,globo de derecha,lob,62,35,31,31,14,48,0.225806451612903,0.139551830385883,0.34405620915358
code,validation_fold,0,ALL,ALL,validation_2022,l,globo de derecha,lob,211,126,88,81,36,175,0.170616113744076,0.12586099681657,0.227150285256278
code,validation_fold,0,ALL,ALL,validation_2023,l,globo de derecha,lob,213,125,77,75,31,182,0.145539906103286,0.104464323391432,0.19917437733848
code,validation_fold,0,ALL,ALL,pre_validation,m,globo de revés,lob,1507,905,252,291,267,1240,0.177173191771732,0.15872381057861,0.197264208998582
code,validation_fold,0,ALL,ALL,validation_2020,m,globo de revés,lob,110,58,56,56,17,93,0.154545454545455,0.0987865236193987,0.23361837713206
code,validation_fold,0,ALL,ALL,validation_2021,m,globo de revés,lob,245,125,83,76,38,207,0.155102040816327,0.115134580540727,0.20571813909481
code,validation_fold,0,ALL,ALL,validation_2022,m,globo de revés,lob,465,192,117,114,88,377,0.189247311827957,0.156245804990606,0.2273411313547
code,validation_fold,0,ALL,ALL,validation_2023,m,globo de revés,lob,500,219,102,96,73,427,0.146,0.117748766826469,0.17964926622031
code,validation_fold,0,ALL,ALL,pre_validation,h,media volea de derecha,half_volley,14,12,11,6,5,9,0.357142857142857,0.163447317535541,0.612355768960926
code,validation_fold,0,ALL,ALL,validation_2020,h,media volea de derecha,half_volley,0,0,0,0,0,0,,,
code,validation_fold,0,ALL,ALL,validation_2021,h,media volea de derecha,half_volley,0,0,0,0,0,0,,,
code,validation_fold,0,ALL,ALL,validation_2022,h,media volea de derecha,half_volley,0,0,0,0,0,0,,,
code,validation_fold,0,ALL,ALL,validation_2023,h,media volea de derecha,half_volley,0,0,0,0,0,0,,,
code,validation_fold,0,ALL,ALL,pre_validation,i,media volea de revés,half_volley,38,18,17,3,20,18,0.526315789473684,0.372589713844967,0.675209766774739
code,validation_fold,0,ALL,ALL,validation_2020,i,media volea de revés,half_volley,0,0,0,0,0,0,,,
code,validation_fold,0,ALL,ALL,validation_2021,i,media volea de revés,half_volley,0,0,0,0,0,0,,,
code,validation_fold,0,ALL,ALL,validation_2022,i,media volea de revés,half_volley,0,0,0,0,0,0,,,
code,validation_fold,0,ALL,ALL,validation_2023,i,media volea de revés,half_volley,0,0,0,0,0,0,,,
code,validation_fold,0,ALL,ALL,pre_validation,j,volea liftada de derecha,swinging_volley,0,0,0,0,0,0,,,
code,validation_fold,0,ALL,ALL,validation_2020,j,volea liftada de derecha,swinging_volley,0,0,0,0,0,0,,,
code,validation_fold,0,ALL,ALL,validation_2021,j,volea liftada de derecha,swinging_volley,0,0,0,0,0,0,,,
code,validation_fold,0,ALL,ALL,validation_2022,j,volea liftada de derecha,swinging_volley,0,0,0,0,0,0,,,
code,validation_fold,0,ALL,ALL,validation_2023,j,volea liftada de derecha,swinging_volley,0,0,0,0,0,0,,,
code,validation_fold,0,ALL,ALL,pre_validation,k,volea liftada de revés,swinging_volley,0,0,0,0,0,0,,,
code,validation_fold,0,ALL,ALL,validation_2020,k,volea liftada de revés,swinging_volley,0,0,0,0,0,0,,,
code,validation_fold,0,ALL,ALL,validation_2021,k,volea liftada de revés,swinging_volley,0,0,0,0,0,0,,,
code,validation_fold,0,ALL,ALL,validation_2022,k,volea liftada de revés,swinging_volley,0,0,0,0,0,0,,,
code,validation_fold,0,ALL,ALL,validation_2023,k,volea liftada de revés,swinging_volley,0,0,0,0,0,0,,,
code,validation_fold,0,ALL,ALL,pre_validation,t,"golpe especial, incluido trick shot o tweener",special,16,14,12,11,4,12,0.25,0.10182067491213,0.494983165355088
code,validation_fold,0,ALL,ALL,validation_2020,t,"golpe especial, incluido trick shot o tweener",special,1,1,1,1,0,1,0,0,0.793450685622763
code,validation_fold,0,ALL,ALL,validation_2021,t,"golpe especial, incluido trick shot o tweener",special,0,0,0,0,0,0,,,
code,validation_fold,0,ALL,ALL,validation_2022,t,"golpe especial, incluido trick shot o tweener",special,1,1,1,1,1,0,1,0.206549314377237,1
code,validation_fold,0,ALL,ALL,validation_2023,t,"golpe especial, incluido trick shot o tweener",special,0,0,0,0,0,0,,,
family,total,0,ALL,ALL,ALL,,,groundstroke,713891,5993,870,870,282058,431833,0.395099532001384,0.39396606203788,0.396234130900985
family,total,0,ALL,ALL,ALL,,,slice,163249,5959,848,848,48745,114504,0.298592946970579,0.296377734436319,0.300817638015515
family,total,0,ALL,ALL,ALL,,,volley,25,25,21,22,7,18,0.28,0.142838538509566,0.475766051903616
family,total,0,ALL,ALL,ALL,,,overhead,5,5,5,5,2,3,0.4,0.117620774232648,0.769275718723987
family,total,0,ALL,ALL,ALL,,,drop_shot,657,470,193,161,284,373,0.432267884322679,0.394889498418692,0.470433721224904
family,total,0,ALL,ALL,ALL,,,lob,3820,1759,409,437,669,3151,0.175130890052356,0.163406026162396,0.187508485663241
family,total,0,ALL,ALL,ALL,,,half_volley,52,24,22,6,25,27,0.480769230769231,0.351041144454555,0.613143172319439
family,total,0,ALL,ALL,ALL,,,swinging_volley,0,0,0,0,0,0,,,
family,total,0,ALL,ALL,ALL,,,special,18,16,14,12,5,13,0.277777777777778,0.12499753379554,0.508726565602975
family,serve_number,1,ALL,ALL,ALL,,,groundstroke,399762,5993,870,870,140945,258817,0.352572280506902,0.35109266267875,0.354054731681251
family,serve_number,2,ALL,ALL,ALL,,,groundstroke,314129,5993,870,869,141113,173016,0.449219906471545,0.447481085011462,0.450959969887976
family,serve_number,1,ALL,ALL,ALL,,,slice,128304,5945,845,842,34582,93722,0.26953173712433,0.267110747930118,0.271966526478083
family,serve_number,2,ALL,ALL,ALL,,,slice,34945,4203,634,639,14163,20782,0.405294033481185,0.400157269353237,0.410451617130196
family,serve_number,1,ALL,ALL,ALL,,,volley,19,19,16,18,5,14,0.263157894736842,0.118064123467825,0.487915508978151
family,serve_number,2,ALL,ALL,ALL,,,volley,6,6,5,6,2,4,0.333333333333333,0.0967714111057804,0.700006684861608
family,serve_number,1,ALL,ALL,ALL,,,overhead,4,4,4,4,1,3,0.25,0.0455872608097005,0.699358157417598
family,serve_number,2,ALL,ALL,ALL,,,overhead,1,1,1,1,1,0,1,0.206549314377237,1
family,serve_number,1,ALL,ALL,ALL,,,drop_shot,189,153,88,88,72,117,0.380952380952381,0.314742647751493,0.45190504162405
family,serve_number,2,ALL,ALL,ALL,,,drop_shot,468,349,159,118,212,256,0.452991452991453,0.408457466542556,0.498290871956625
family,serve_number,1,ALL,ALL,ALL,,,lob,3554,1680,402,420,608,2946,0.171074845244795,0.159051025987611,0.183808956094062
family,serve_number,2,ALL,ALL,ALL,,,lob,266,231,113,154,61,205,0.229323308270677,0.182869276169819,0.283484038738377
family,serve_number,1,ALL,ALL,ALL,,,half_volley,4,3,3,3,2,2,0.5,0.150038989152149,0.849961010847851
family,serve_number,2,ALL,ALL,ALL,,,half_volley,48,22,20,4,23,25,0.479166666666667,0.344713161769516,0.616707676966572
family,serve_number,1,ALL,ALL,ALL,,,swinging_volley,0,0,0,0,0,0,,,
family,serve_number,2,ALL,ALL,ALL,,,swinging_volley,0,0,0,0,0,0,,,
family,serve_number,1,ALL,ALL,ALL,,,special,13,11,10,9,2,11,0.153846153846154,0.0432581783580812,0.422346310194825
family,serve_number,2,ALL,ALL,ALL,,,special,5,5,5,5,3,2,0.6,0.230724281276013,0.882379225767352
family,surface,0,Clay,ALL,ALL,,,groundstroke,185436,1439,499,499,75756,109680,0.408529088202938,0.406293679512212,0.410768286605068
family,surface,0,Grass,ALL,ALL,,,groundstroke,91094,705,316,316,33678,57416,0.36970601795947,0.366576822573628,0.372846201947426
family,surface,0,Hard,ALL,ALL,,,groundstroke,437361,3849,643,643,172624,264737,0.394694542951932,0.39324688247918,0.396144053260513
family,surface,0,Clay,ALL,ALL,,,slice,27859,1422,475,477,8268,19591,0.296780214652356,0.291444040479617,0.302172424778078
family,surface,0,Grass,ALL,ALL,,,slice,27186,705,314,310,8003,19183,0.294379460016185,0.288991117490928,0.299825903861248
family,surface,0,Hard,ALL,ALL,,,slice,108204,3832,638,638,32474,75730,0.300118295072271,0.29739466111735,0.302856120925452
family,surface,0,Clay,ALL,ALL,,,volley,6,6,6,6,3,3,0.5,0.187616306482651,0.812383693517349
family,surface,0,Grass,ALL,ALL,,,volley,2,2,2,2,0,2,0,0,0.657619772493347
family,surface,0,Hard,ALL,ALL,,,volley,17,17,15,14,4,13,0.235294117647059,0.0955504432208012,0.47261798119565
family,surface,0,Clay,ALL,ALL,,,overhead,0,0,0,0,0,0,,,
family,surface,0,Grass,ALL,ALL,,,overhead,1,1,1,1,0,1,0,0,0.793450685622763
family,surface,0,Hard,ALL,ALL,,,overhead,4,4,4,4,2,2,0.5,0.150038989152149,0.849961010847851
family,surface,0,Clay,ALL,ALL,,,drop_shot,268,174,106,81,122,146,0.455223880597015,0.396654592776834,0.515058653230169
family,surface,0,Grass,ALL,ALL,,,drop_shot,77,60,48,39,38,39,0.493506493506494,0.384830203072124,0.602799906347129
family,surface,0,Hard,ALL,ALL,,,drop_shot,312,236,116,98,124,188,0.397435897435897,0.344699393160691,0.452667297586728
family,surface,0,Clay,ALL,ALL,,,lob,1053,444,221,222,208,845,0.197530864197531,0.174601614660781,0.222658972834704
family,surface,0,Grass,ALL,ALL,,,lob,577,256,146,152,88,489,0.152512998266898,0.125483527578511,0.184138755902826
family,surface,0,Hard,ALL,ALL,,,lob,2190,1059,295,319,373,1817,0.170319634703196,0.155156158833364,0.186637663963555
family,surface,0,Clay,ALL,ALL,,,half_volley,3,2,2,2,0,3,0,0,0.561497031755045
family,surface,0,Grass,ALL,ALL,,,half_volley,4,4,4,2,2,2,0.5,0.150038989152149,0.849961010847851
family,surface,0,Hard,ALL,ALL,,,half_volley,45,18,17,3,23,22,0.511111111111111,0.370044646445832,0.650429762471215
family,surface,0,Clay,ALL,ALL,,,swinging_volley,0,0,0,0,0,0,,,
family,surface,0,Grass,ALL,ALL,,,swinging_volley,0,0,0,0,0,0,,,
family,surface,0,Hard,ALL,ALL,,,swinging_volley,0,0,0,0,0,0,,,
family,surface,0,Clay,ALL,ALL,,,special,2,2,2,2,1,1,0.5,0.0945312057342307,0.905468794265769
family,surface,0,Grass,ALL,ALL,,,special,4,4,4,3,0,4,0,0,0.489890836454597
family,surface,0,Hard,ALL,ALL,,,special,12,10,9,9,4,8,0.333333333333333,0.138120091091213,0.6093779111272
family,derived_period,0,ALL,2010s,ALL,,,groundstroke,251154,2232,412,412,98857,152297,0.393611091203007,0.391702055102932,0.395523381739493
family,derived_period,0,ALL,2020s,ALL,,,groundstroke,216096,1805,332,332,86587,129509,0.40068765733748,0.3986233261651,0.402755519324803
family,derived_period,0,ALL,to_2009,ALL,,,groundstroke,246641,1956,357,357,96614,150027,0.391719138342773,0.389794401554299,0.393647248049722
family,derived_period,0,ALL,2010s,ALL,,,slice,54875,2224,405,403,15934,38941,0.290369020501139,0.286585822745976,0.294181566134423
family,derived_period,0,ALL,2020s,ALL,,,slice,37444,1781,318,319,10011,27433,0.267359256489691,0.262900479755562,0.271865762534852
family,derived_period,0,ALL,to_2009,ALL,,,slice,70930,1954,353,354,22800,48130,0.321443676864514,0.318016434262698,0.324890259086133
family,derived_period,0,ALL,2010s,ALL,,,volley,7,7,6,7,4,3,0.571428571428571,0.250458364527657,0.84178014474853
family,derived_period,0,ALL,2020s,ALL,,,volley,6,6,5,5,0,6,0,0,0.390334287902165
family,derived_period,0,ALL,to_2009,ALL,,,volley,12,12,11,12,3,9,0.25,0.0889416683940547,0.532305334933566
family,derived_period,0,ALL,2010s,ALL,,,overhead,4,4,4,4,1,3,0.25,0.0455872608097005,0.699358157417598
family,derived_period,0,ALL,2020s,ALL,,,overhead,0,0,0,0,0,0,,,
family,derived_period,0,ALL,to_2009,ALL,,,overhead,1,1,1,1,1,0,1,0.206549314377237,1
family,derived_period,0,ALL,2010s,ALL,,,drop_shot,267,194,94,77,111,156,0.415730337078652,0.358218139030507,0.475632999580471
family,derived_period,0,ALL,2020s,ALL,,,drop_shot,102,85,55,46,40,62,0.392156862745098,0.302975181892627,0.489166760923277
family,derived_period,0,ALL,to_2009,ALL,,,drop_shot,288,191,82,63,133,155,0.461805555555556,0.405109023372746,0.519507581516429
family,derived_period,0,ALL,2010s,ALL,,,lob,1133,584,175,195,208,925,0.183583406884378,0.162122641857474,0.207182555066131
family,derived_period,0,ALL,2020s,ALL,,,lob,1837,673,224,214,301,1536,0.163854109961894,0.147632357580313,0.181478797493746
family,derived_period,0,ALL,to_2009,ALL,,,lob,850,502,128,148,160,690,0.188235294117647,0.163380901231552,0.215894964885299
family,derived_period,0,ALL,2010s,ALL,,,half_volley,51,23,21,5,25,26,0.490196078431373,0.358574858943707,0.623190761054303
family,derived_period,0,ALL,2020s,ALL,,,half_volley,0,0,0,0,0,0,,,
family,derived_period,0,ALL,to_2009,ALL,,,half_volley,1,1,1,1,0,1,0,0,0.793450685622763
family,derived_period,0,ALL,2010s,ALL,,,swinging_volley,0,0,0,0,0,0,,,
family,derived_period,0,ALL,2020s,ALL,,,swinging_volley,0,0,0,0,0,0,,,
family,derived_period,0,ALL,to_2009,ALL,,,swinging_volley,0,0,0,0,0,0,,,
family,derived_period,0,ALL,2010s,ALL,,,special,11,10,9,7,3,8,0.272727272727273,0.0974605929002489,0.565645301176129
family,derived_period,0,ALL,2020s,ALL,,,special,2,2,2,2,1,1,0.5,0.0945312057342307,0.905468794265769
family,derived_period,0,ALL,to_2009,ALL,,,special,5,4,4,4,1,4,0.2,0.0362241086324301,0.624465370237475
family,validation_fold,0,ALL,ALL,pre_validation,,,groundstroke,497795,4188,709,709,195471,302324,0.392673690977209,0.391317930546935,0.39403110785809
family,validation_fold,0,ALL,ALL,validation_2020,,,groundstroke,22311,168,113,113,8792,13519,0.394065707498543,0.387672585822335,0.400495301961089
family,validation_fold,0,ALL,ALL,validation_2021,,,groundstroke,44087,371,166,166,17456,26631,0.395944382697847,0.391388558714167,0.400518338581746
family,validation_fold,0,ALL,ALL,validation_2022,,,groundstroke,74617,646,220,220,30186,44431,0.404545880965464,0.40102930469566,0.408072285134829
family,validation_fold,0,ALL,ALL,validation_2023,,,groundstroke,75081,620,178,178,30153,44928,0.401606265233548,0.39810486122102,0.405117737203148
family,validation_fold,0,ALL,ALL,pre_validation,,,slice,125805,4178,699,697,38734,87071,0.307889193593259,0.305344246085692,0.310445872959149
family,validation_fold,0,ALL,ALL,validation_2020,,,slice,4394,164,110,111,1172,3222,0.266727355484752,0.253858949000133,0.280003283371081
family,validation_fold,0,ALL,ALL,validation_2021,,,slice,7855,361,158,160,2139,5716,0.272310630171865,0.262579506065314,0.282264346715912
family,validation_fold,0,ALL,ALL,validation_2022,,,slice,12766,636,211,212,3452,9314,0.270405765314116,0.262770740460742,0.27817892450547
family,validation_fold,0,ALL,ALL,validation_2023,,,slice,12429,620,176,176,3248,9181,0.261324322149811,0.253674827784867,0.26912130698039
family,validation_fold,0,ALL,ALL,pre_validation,,,volley,19,19,16,17,7,12,0.368421052631579,0.191495127451351,0.589604668351969
family,validation_fold,0,ALL,ALL,validation_2020,,,volley,0,0,0,0,0,0,,,
family,validation_fold,0,ALL,ALL,validation_2021,,,volley,0,0,0,0,0,0,,,
family,validation_fold,0,ALL,ALL,validation_2022,,,volley,1,1,1,1,0,1,0,0,0.793450685622763
family,validation_fold,0,ALL,ALL,validation_2023,,,volley,5,5,4,4,0,5,0,0,0.434482464783175
family,validation_fold,0,ALL,ALL,pre_validation,,,overhead,5,5,5,5,2,3,0.4,0.117620774232648,0.769275718723987
family,validation_fold,0,ALL,ALL,validation_2020,,,overhead,0,0,0,0,0,0,,,
family,validation_fold,0,ALL,ALL,validation_2021,,,overhead,0,0,0,0,0,0,,,
family,validation_fold,0,ALL,ALL,validation_2022,,,overhead,0,0,0,0,0,0,,,
family,validation_fold,0,ALL,ALL,validation_2023,,,overhead,0,0,0,0,0,0,,,
family,validation_fold,0,ALL,ALL,pre_validation,,,drop_shot,555,385,159,131,244,311,0.43963963963964,0.398900940800636,0.481208168961213
family,validation_fold,0,ALL,ALL,validation_2020,,,drop_shot,16,12,13,10,6,10,0.375,0.184812325588636,0.613589594544973
family,validation_fold,0,ALL,ALL,validation_2021,,,drop_shot,26,21,17,15,15,11,0.576923076923077,0.389486137465917,0.744555566863434
family,validation_fold,0,ALL,ALL,validation_2022,,,drop_shot,34,30,28,18,8,26,0.235294117647059,0.124369855326396,0.399961379225364
family,validation_fold,0,ALL,ALL,validation_2023,,,drop_shot,26,22,15,18,11,15,0.423076923076923,0.255444433136566,0.610513862534083
family,validation_fold,0,ALL,ALL,pre_validation,,,lob,1983,1086,280,322,368,1615,0.185577407967726,0.169080119005751,0.203290537714807
family,validation_fold,0,ALL,ALL,validation_2020,,,lob,141,64,60,60,21,120,0.148936170212766,0.0995235723810119,0.21697047009783
family,validation_fold,0,ALL,ALL,validation_2021,,,lob,307,131,91,82,52,255,0.169381107491857,0.13156958471659,0.215364377148843
family,validation_fold,0,ALL,ALL,validation_2022,,,lob,676,229,137,130,124,552,0.183431952662722,0.156073493585664,0.214367960893381
family,validation_fold,0,ALL,ALL,validation_2023,,,lob,713,249,119,110,104,609,0.14586255259467,0.121851930693363,0.173668726230141
family,validation_fold,0,ALL,ALL,pre_validation,,,half_volley,52,24,22,6,25,27,0.480769230769231,0.351041144454555,0.613143172319439
family,validation_fold,0,ALL,ALL,validation_2020,,,half_volley,0,0,0,0,0,0,,,
family,validation_fold,0,ALL,ALL,validation_2021,,,half_volley,0,0,0,0,0,0,,,
family,validation_fold,0,ALL,ALL,validation_2022,,,half_volley,0,0,0,0,0,0,,,
family,validation_fold,0,ALL,ALL,validation_2023,,,half_volley,0,0,0,0,0,0,,,
family,validation_fold,0,ALL,ALL,pre_validation,,,swinging_volley,0,0,0,0,0,0,,,
family,validation_fold,0,ALL,ALL,validation_2020,,,swinging_volley,0,0,0,0,0,0,,,
family,validation_fold,0,ALL,ALL,validation_2021,,,swinging_volley,0,0,0,0,0,0,,,
family,validation_fold,0,ALL,ALL,validation_2022,,,swinging_volley,0,0,0,0,0,0,,,
family,validation_fold,0,ALL,ALL,validation_2023,,,swinging_volley,0,0,0,0,0,0,,,
family,validation_fold,0,ALL,ALL,pre_validation,,,special,16,14,12,11,4,12,0.25,0.10182067491213,0.494983165355088
family,validation_fold,0,ALL,ALL,validation_2020,,,special,1,1,1,1,0,1,0,0,0.793450685622763
family,validation_fold,0,ALL,ALL,validation_2021,,,special,0,0,0,0,0,0,,,
family,validation_fold,0,ALL,ALL,validation_2022,,,special,1,1,1,1,1,0,1,0.206549314377237,1
family,validation_fold,0,ALL,ALL,validation_2023,,,special,0,0,0,0,0,0,,,
