aggregation_level,group_type,serve_number,surface,derived_period,validation_fold,terminal_class,unforced_error_code,expected_returner_won_point,attempts,concordant,discordant,concordance_rate,concordance_wilson_low,concordance_wilson_high,returner_wins,returner_win_rate,returner_win_wilson_low,returner_win_wilson_high
unforced_error_code,surface,0,Clay,ALL,ALL,unforced_error,n,False,2948,2948,0,1.0,0.9986986229191899,1.0,0,0.0,0.0,0.0013013770808100403
unforced_error_code,surface,0,Clay,ALL,ALL,unforced_error,w,False,1790,1790,0,1.0,0.9978585293578733,1.0,0,0.0,0.0,0.0021414706421266317
unforced_error_code,surface,0,Clay,ALL,ALL,unforced_error,d,False,3771,3771,0,1.0,0.9989823522755592,1.0,0,0.0,0.0,0.0010176477244409209
unforced_error_code,surface,0,Clay,ALL,ALL,unforced_error,x,False,329,329,0,1.0,0.988458592765742,1.0,0,0.0,0.0,0.01154140723425794
unforced_error_code,surface,0,Clay,ALL,ALL,unforced_error,e,False,4,4,0,1.0,0.5101091635454027,1.0,0,0.0,0.0,0.4898908364545973
unforced_error_code,surface,0,Clay,ALL,ALL,unforced_error,!,False,113,113,0,1.0,0.967122467834048,1.0,0,0.0,0.0,0.03287753216595198
unforced_error_code,surface,0,Grass,ALL,ALL,unforced_error,n,False,2507,2507,0,1.0,0.9984700512223904,1.0,0,0.0,0.0,0.0015299487776095598
unforced_error_code,surface,0,Grass,ALL,ALL,unforced_error,w,False,1210,1210,0,1.0,0.9968352878435821,1.0,0,0.0,0.0,0.0031647121564180956
unforced_error_code,surface,0,Grass,ALL,ALL,unforced_error,d,False,1815,1815,0,1.0,0.9978879639002814,1.0,0,0.0,0.0,0.002112036099718588
unforced_error_code,surface,0,Grass,ALL,ALL,unforced_error,x,False,217,217,0,1.0,0.9826053548042667,1.0,0,0.0,0.0,0.017394645195733326
unforced_error_code,surface,0,Grass,ALL,ALL,unforced_error,e,False,0,0,0,,,,0,,,
unforced_error_code,surface,0,Grass,ALL,ALL,unforced_error,!,False,79,79,0,1.0,0.9536287883460772,1.0,0,0.0,0.0,0.04637121165392266
unforced_error_code,derived_period,0,ALL,to_2009,ALL,unforced_error,n,False,5684,5684,0,1.0,0.9993246192165331,1.0,0,0.0,0.0,0.0006753807834669509
unforced_error_code,derived_period,0,ALL,to_2009,ALL,unforced_error,w,False,3136,3136,0,1.0,0.9987765436978027,1.0,0,0.0,0.0,0.001223456302197167
unforced_error_code,derived_period,0,ALL,to_2009,ALL,unforced_error,d,False,4869,4868,1,0.9997946190182789,0.9988374769507292,0.9999637442935779,1,0.00020538098172109262,3.6255706422084685e-05,0.0011625230492708725
unforced_error_code,derived_period,0,ALL,to_2009,ALL,unforced_error,x,False,592,592,0,1.0,0.9935528843053364,1.0,0,0.0,0.0,0.006447115694663556
unforced_error_code,derived_period,0,ALL,to_2009,ALL,unforced_error,e,False,3,3,0,1.0,0.4385029682449546,1.0,0,0.0,0.0,0.5614970317550454
unforced_error_code,derived_period,0,ALL,to_2009,ALL,unforced_error,!,False,119,119,0,1.0,0.9687283197580606,1.0,0,0.0,0.0,0.031271680241939506
unforced_error_code,derived_period,0,ALL,2010s,ALL,unforced_error,n,False,4687,4687,0,1.0,0.9991810725528847,1.0,0,0.0,0.0,0.00081892744711519
unforced_error_code,derived_period,0,ALL,2010s,ALL,unforced_error,w,False,2582,2582,0,1.0,0.9985144260072132,1.0,0,0.0,0.0,0.0014855739927868866
unforced_error_code,derived_period,0,ALL,2010s,ALL,unforced_error,d,False,5192,5191,1,0.9998073959938367,0.9989097435902234,0.9999659998544159,1,0.0001926040061633282,3.4000145584114276e-05,0.0010902564097765967
unforced_error_code,derived_period,0,ALL,2010s,ALL,unforced_error,x,False,462,462,0,1.0,0.9917537206104003,1.0,0,0.0,0.0,0.008246279389599652
unforced_error_code,derived_period,0,ALL,2010s,ALL,unforced_error,e,False,5,5,0,1.0,0.5655175352168251,1.0,0,0.0,0.0,0.43448246478317476
unforced_error_code,derived_period,0,ALL,2010s,ALL,unforced_error,!,False,200,200,0,1.0,0.9811546736227335,1.0,0,0.0,0.0,0.018845326377266575
unforced_error_code,derived_period,0,ALL,2020s,ALL,unforced_error,n,False,4170,4170,0,1.0,0.9990796347061588,1.0,0,0.0,0.0,0.0009203652938412083
unforced_error_code,derived_period,0,ALL,2020s,ALL,unforced_error,w,False,2345,2345,0,1.0,0.998364530391667,1.0,0,0.0,0.0,0.0016354696083331413
unforced_error_code,derived_period,0,ALL,2020s,ALL,unforced_error,d,False,5097,5097,0,1.0,0.9992468970361642,1.0,0,0.0,0.0,0.000753102963835748
unforced_error_code,derived_period,0,ALL,2020s,ALL,unforced_error,x,False,426,426,0,1.0,0.9910630797893867,1.0,0,0.0,0.0,0.008936920210613205
unforced_error_code,derived_period,0,ALL,2020s,ALL,unforced_error,e,False,2,2,0,1.0,0.34238022750665303,1.0,0,0.0,0.0,0.6576197724933469
unforced_error_code,derived_period,0,ALL,2020s,ALL,unforced_error,!,False,102,102,0,1.0,0.9637055378535367,1.0,0,0.0,0.0,0.03629446214646319
unforced_error_code,validation_fold,0,ALL,ALL,pre_validation,unforced_error,n,False,10371,10371,0,1.0,0.9996297332507736,1.0,0,0.0,0.0,0.00037026674922614023
unforced_error_code,validation_fold,0,ALL,ALL,pre_validation,unforced_error,w,False,5718,5718,0,1.0,0.9993286324257076,1.0,0,0.0,0.0,0.0006713675742923981
unforced_error_code,validation_fold,0,ALL,ALL,pre_validation,unforced_error,d,False,10061,10059,2,0.9998012126031209,0.9992754222449662,0.999945483632908,2,0.00019878739687903787,5.45163670919777e-05,0.0007245777550337091
unforced_error_code,validation_fold,0,ALL,ALL,pre_validation,unforced_error,x,False,1054,1054,0,1.0,0.996368587382672,1.0,0,0.0,0.0,0.0036314126173279987
unforced_error_code,validation_fold,0,ALL,ALL,pre_validation,unforced_error,e,False,8,8,0,1.0,0.6755924351161198,1.0,0,0.0,0.0,0.32440756488388023
unforced_error_code,validation_fold,0,ALL,ALL,pre_validation,unforced_error,!,False,319,319,0,1.0,0.9881010981838375,1.0,0,0.0,0.0,0.011898901816162554
unforced_error_code,validation_fold,0,ALL,ALL,validation_2020,unforced_error,n,False,439,439,0,1.0,0.9913254309320447,1.0,0,0.0,0.0,0.008674569067955145
unforced_error_code,validation_fold,0,ALL,ALL,validation_2020,unforced_error,w,False,256,256,0,1.0,0.9852161435741286,1.0,0,0.0,0.0,0.01478385642587143
unforced_error_code,validation_fold,0,ALL,ALL,validation_2020,unforced_error,d,False,498,498,0,1.0,0.9923452740837289,1.0,0,0.0,0.0,0.007654725916271223
unforced_error_code,validation_fold,0,ALL,ALL,validation_2020,unforced_error,x,False,44,44,0,1.0,0.9197043962415192,1.0,0,0.0,0.0,0.08029560375848066
unforced_error_code,validation_fold,0,ALL,ALL,validation_2020,unforced_error,e,False,0,0,0,,,,0,,,
unforced_error_code,validation_fold,0,ALL,ALL,validation_2020,unforced_error,!,False,16,16,0,1.0,0.8063923194655637,1.0,0,0.0,0.0,0.1936076805344365
unforced_error_code,validation_fold,0,ALL,ALL,validation_2021,unforced_error,n,False,844,844,0,1.0,0.9954691307192769,1.0,0,0.0,0.0,0.00453086928072308
unforced_error_code,validation_fold,0,ALL,ALL,validation_2021,unforced_error,w,False,447,447,0,1.0,0.9914793576643495,1.0,0,0.0,0.0,0.008520642335650695
unforced_error_code,validation_fold,0,ALL,ALL,validation_2021,unforced_error,d,False,1026,1026,0,1.0,0.9962698541724148,1.0,0,0.0,0.0,0.0037301458275850615
unforced_error_code,validation_fold,0,ALL,ALL,validation_2021,unforced_error,x,False,89,89,0,1.0,0.9586234547637477,1.0,0,0.0,0.0,0.04137654523625252
unforced_error_code,validation_fold,0,ALL,ALL,validation_2021,unforced_error,e,False,2,2,0,1.0,0.34238022750665303,1.0,0,0.0,0.0,0.6576197724933469
unforced_error_code,validation_fold,0,ALL,ALL,validation_2021,unforced_error,!,False,18,18,0,1.0,0.8241207763533425,1.0,0,0.0,0.0,0.17587922364665765
unforced_error_code,validation_fold,0,ALL,ALL,validation_2022,unforced_error,n,False,1419,1419,0,1.0,0.9973001497834634,1.0,0,0.0,0.0,0.002699850216536475
unforced_error_code,validation_fold,0,ALL,ALL,validation_2022,unforced_error,w,False,822,822,0,1.0,0.9953484306465072,1.0,0,0.0,0.0,0.004651569353492798
unforced_error_code,validation_fold,0,ALL,ALL,validation_2022,unforced_error,d,False,1706,1706,0,1.0,0.9977533245548137,1.0,0,0.0,0.0,0.002246675445186388
unforced_error_code,validation_fold,0,ALL,ALL,validation_2022,unforced_error,x,False,135,135,0,1.0,0.9723320479824751,1.0,0,0.0,0.0,0.02766795201752491
unforced_error_code,validation_fold,0,ALL,ALL,validation_2022,unforced_error,e,False,0,0,0,,,,0,,,
unforced_error_code,validation_fold,0,ALL,ALL,validation_2022,unforced_error,!,False,43,43,0,1.0,0.9179901967742088,1.0,0,0.0,0.0,0.08200980322579117
unforced_error_code,validation_fold,0,ALL,ALL,validation_2023,unforced_error,n,False,1468,1468,0,1.0,0.9973900321956062,1.0,0,0.0,0.0,0.002609967804393875
unforced_error_code,validation_fold,0,ALL,ALL,validation_2023,unforced_error,w,False,820,820,0,1.0,0.995337138256925,1.0,0,0.0,0.0,0.0046628617430750155
unforced_error_code,validation_fold,0,ALL,ALL,validation_2023,unforced_error,d,False,1867,1867,0,1.0,0.9979466679003811,1.0,0,0.0,0.0,0.002053332099618763
unforced_error_code,validation_fold,0,ALL,ALL,validation_2023,unforced_error,x,False,158,158,0,1.0,0.9762640620723142,1.0,0,0.0,0.0,0.023735937927685878
unforced_error_code,validation_fold,0,ALL,ALL,validation_2023,unforced_error,e,False,0,0,0,,,,0,,,
unforced_error_code,validation_fold,0,ALL,ALL,validation_2023,unforced_error,!,False,25,25,0,1.0,0.8668077490609515,1.0,0,0.0,0.0,0.13319225093904846
