scorer,fold,direction,selected_scope,n_points,n_matches,n_orientations,mean_score,observed_rate,calibration_gap,brier_score,log_loss,calibration_in_the_large,ece,max_calibration_error,eligible_target_points,scored_target_points,abstained_target_points,point_coverage,delta_brier_vs_population,delta_log_loss_vs_population,delta_ece_vs_population
population_only,2021,T,surface,2941,186,336,0.5030322602619708,0.4787487249234954,0.02428353533847538,0.2501456991062176,0.6934386396930274,0.02428353533847538,0.006120002286321709,0.012448694784106817,6344,4401,1943,0.6937263556116016,0.0,0.0,0.0
population_only,2021,T,global,1460,102,155,0.5047608215044335,0.5054794520547945,-0.0007186305503610324,0.24996939446038194,0.6930859683200199,-0.0007186305503610324,0.006120002286321709,0.012448694784106817,6344,4401,1943,0.6937263556116016,0.0,0.0,0.0
population_only,2022,wide,surface,7633,382,728,0.5154468924789477,0.5194549980348487,-0.0040081055559010315,0.24955833414712805,0.6922633833855262,-0.0040081055559010315,0.004517431343158988,0.014671130614885619,13216,10024,3192,0.7584745762711864,0.0,0.0,0.0
population_only,2022,wide,global,2391,141,241,0.5174218937084767,0.5173567544960268,6.513921244988286e-05,0.24970095025538214,0.6925489653029964,6.513921244988286e-05,0.004517431343158988,0.014671130614885619,13216,10024,3192,0.7584745762711864,0.0,0.0,0.0
population_only,2022,body,surface,7516,377,718,0.506836830983283,0.5071846726982437,-0.00034784171496071714,0.24998330788851472,0.6931138950956995,-0.00034784171496071714,0.004517431343158988,0.014671130614885619,14454,10479,3975,0.7249896222498963,0.0,0.0,0.0
population_only,2022,body,global,2963,143,246,0.5088506863483224,0.5160310496118798,-0.007180363263557421,0.2497942257707695,0.6927355971448721,-0.007180363263557421,0.004517431343158988,0.014671130614885619,14454,10479,3975,0.7249896222498963,0.0,0.0,0.0
population_only,2022,T,surface,6055,363,686,0.5018719683418363,0.511478117258464,-0.0096061489166277,0.24988583501978015,0.6929186998574975,-0.0096061489166277,0.004517431343158988,0.014671130614885619,11122,8001,3121,0.7193850026973566,0.0,0.0,0.0
population_only,2022,T,global,1946,141,228,0.503971369586623,0.512332990750257,-0.008361621163633925,0.24991988188306952,0.6929869414933247,-0.008361621163633925,0.004517431343158988,0.014671130614885619,11122,8001,3121,0.7193850026973566,0.0,0.0,0.0
population_only,2023,wide,surface,8000,375,730,0.5160670171455713,0.5195,-0.0034329828544286123,0.2496515455815282,0.6924501803142432,-0.0034329828544286123,0.0025726639784813014,0.011705743056313167,13692,10281,3411,0.7508764241893077,0.0,0.0,0.0
population_only,2023,wide,global,2281,126,224,0.517782381490867,0.498903989478299,0.01887839201256797,0.25035662315573787,0.6938608637183049,0.01887839201256797,0.0025726639784813014,0.011705743056313167,13692,10281,3411,0.7508764241893077,0.0,0.0,0.0
population_only,2023,body,surface,8382,370,722,0.5073661989892039,0.4952278692436173,0.012138329745586596,0.2500240479994587,0.6931951832735144,0.012138329745586596,0.0025726639784813014,0.011705743056313167,13981,10678,3303,0.7637508046634719,0.0,0.0,0.0
population_only,2023,body,global,2296,124,222,0.5081306345027206,0.5135017421602788,-0.005371107657558216,0.24984585797920078,0.6928388748517293,-0.005371107657558216,0.0025726639784813014,0.011705743056313167,13981,10678,3303,0.7637508046634719,0.0,0.0,0.0
population_only,2023,T,surface,6131,361,695,0.5025548320167599,0.5111727287555048,-0.008617896738744912,0.24987540316066303,0.6928979327919834,-0.008617896738744912,0.0025726639784813014,0.011705743056313167,10923,8209,2714,0.7515334615032501,0.0,0.0,0.0
population_only,2023,T,global,2078,132,226,0.504266901702884,0.49326275264677577,0.011004149056108248,0.25007787433336365,0.6933029336787945,0.011004149056108248,0.0025726639784813014,0.011705743056313167,10923,8209,2714,0.7515334615032501,0.0,0.0,0.0
server_only,2020,wide,surface,2654,106,211,0.5160706056613702,0.5041446872645065,0.011925918396863744,0.2512393538426202,0.6957087858877171,0.011925918396863744,0.024183937751425546,0.7192982456140351,4015,3088,927,0.7691158156911582,0.001119464838277795,0.0023216440569682195,0.009183618272186216
server_only,2020,wide,global,434,24,46,0.5151857340173264,0.49078341013824883,0.024402323879077537,0.25229477313475995,0.6978217231132184,0.024402323879077537,0.024183937751425546,0.7192982456140351,4015,3088,927,0.7691158156911582,0.0016248162978915737,0.003333885230916822,0.009183618272186216
server_only,2020,body,surface,2905,109,209,0.5036587226134239,0.4939759036144578,0.009682818998966114,0.2515919978671697,0.6963845810403223,0.009682818998966114,0.024183937751425546,0.7192982456140351,4475,3340,1135,0.7463687150837989,0.0014166419620355586,0.002886638197130864,0.009183618272186216
server_only,2020,body,global,435,23,35,0.4993272639111358,0.5172413793103449,-0.017914115399209063,0.2539119124692382,0.7014320932110985,-0.017914115399209063,0.024183937751425546,0.7192982456140351,4475,3340,1135,0.7463687150837989,0.004145870551385711,0.008752872325660133,0.009183618272186216
server_only,2020,T,surface,1834,106,196,0.5040855566293403,0.4830970556161396,0.02098850101320071,0.24847682788084588,0.6901039828682194,0.02098850101320071,0.024183937751425546,0.7192982456140351,2902,2183,719,0.7522398345968297,-0.0016795000170527208,-0.003355861624822376,0.009183618272186216
server_only,2020,T,global,349,29,45,0.5116893480313184,0.4785100286532951,0.033179319378023264,0.25468728281550296,0.7026639506300794,0.033179319378023264,0.024183937751425546,0.7192982456140351,2902,2183,719,0.7522398345968297,0.004422417297992198,0.008987016770674261,0.009183618272186216
server_only,2021,wide,surface,3658,200,378,0.5238017090670052,0.5196828868234008,0.004118822243604381,0.24926298448136663,0.6917015060182334,0.004118822243604381,0.020658400711257737,0.11008805135611277,6870,5054,1816,0.7356622998544395,-0.00025107517617611874,-0.00047309854348387415,0.014538398424936028
server_only,2021,wide,global,1396,84,142,0.5143267423613209,0.5200573065902578,-0.0057305642289369185,0.24890133085184404,0.6909711142751925,-0.0057305642289369185,0.020658400711257737,0.11008805135611277,6870,5054,1816,0.7356622998544395,-0.0007040722097588215,-0.0013866770697789077,0.014538398424936028
server_only,2021,body,surface,4813,200,383,0.5130974201666076,0.5061292333264077,0.0069681868401999525,0.25166203411972593,0.6965135597871406,0.0069681868401999525,0.020658400711257737,0.11008805135611277,9296,6653,2643,0.715684165232358,0.001673912684881096,0.003389893826244994,0.014538398424936028
server_only,2021,body,global,1840,80,143,0.5062260383427494,0.4907608695652174,0.015465168777531957,0.2505077921145105,0.6941936515299867,0.015465168777531957,0.020658400711257737,0.11008805135611277,9296,6653,2643,0.715684165232358,0.00023837734295301116,0.000507563925198351,0.014538398424936028
server_only,2021,T,surface,2941,186,336,0.4997006023681432,0.4787487249234954,0.02095187744464777,0.25144867909725954,0.6960884115034536,0.02095187744464777,0.020658400711257737,0.11008805135611277,6344,4401,1943,0.6937263556116016,0.0013029799910419526,0.002649771810426138,0.014538398424936028
server_only,2021,T,global,1460,102,155,0.4869993183020952,0.5054794520547945,-0.0184801337526993,0.2491788730669588,0.6916085170794746,-0.0184801337526993,0.020658400711257737,0.11008805135611277,6344,4401,1943,0.6937263556116016,-0.0007905213934231436,-0.0014774512405453244,0.014538398424936028
server_only,2022,wide,surface,7633,382,728,0.523665091272968,0.5194549980348487,0.004210093238119272,0.24932714544007456,0.6918375713257299,0.004210093238119272,0.01757250567629794,0.27270297743745814,13216,10024,3192,0.7584745762711864,-0.00023118870705349237,-0.00042581205979630443,0.013055074333138952
server_only,2022,wide,global,2391,141,241,0.5131325285526879,0.5173567544960268,-0.004224225943338933,0.24949578949747914,0.6921732952431361,-0.004224225943338933,0.01757250567629794,0.27270297743745814,13216,10024,3192,0.7584745762711864,-0.00020516075790300015,-0.000375670059860278,0.013055074333138952
server_only,2022,body,surface,7516,377,718,0.5136635960974809,0.5071846726982437,0.006478923399237169,0.25088034875243725,0.6949433781184061,0.006478923399237169,0.01757250567629794,0.27270297743745814,14454,10479,3975,0.7249896222498963,0.0008970408639225325,0.0018294830227065795,0.013055074333138952
server_only,2022,body,global,2963,143,246,0.5006242298563129,0.5160310496118798,-0.015406819755566903,0.25079974395149096,0.6948326739740849,-0.015406819755566903,0.01757250567629794,0.27270297743745814,14454,10479,3975,0.7249896222498963,0.0010055181807214486,0.002097076829212785,0.013055074333138952
server_only,2022,T,surface,6055,363,686,0.5026759692644605,0.511478117258464,-0.008802147994003584,0.25132091326659417,0.6958252072387288,-0.008802147994003584,0.01757250567629794,0.27270297743745814,11122,8001,3121,0.7193850026973566,0.00143507824681402,0.002906507381231216,0.013055074333138952
server_only,2022,T,global,1946,141,228,0.49007923427327704,0.512332990750257,-0.022253756476979913,0.2515329146476827,0.6963850876846588,-0.022253756476979913,0.01757250567629794,0.27270297743745814,11122,8001,3121,0.7193850026973566,0.0016130327646131648,0.0033981461913340505,0.013055074333138952
server_only,2023,wide,surface,8000,375,730,0.5253282381507186,0.5195,0.005828238150718645,0.2507379347979623,0.6946640029491171,0.005828238150718645,0.020603383631831826,0.11409929171317695,13692,10281,3411,0.7508764241893077,0.0010863892164341138,0.0022138226348739076,0.018030719653350524
