role,scope,direction,threshold_points,stratum_type,stratum,observed_rows,minimum_points,median_points,points_q1,points_q3,median_raw_rate,raw_rate_q1,raw_rate_q3,zero_rate_rows,one_rate_rows,zero_rate_share,one_rate_share,median_wilson_width,wilson_width_p90
server,global,body,0,surface,Clay,3394,1.0,287.0,85.0,964.5,0.5085236555775715,0.475,0.5405405405405406,9,8,0.0026517383618149676,0.002357100766057749,0.11446119887591441,0.34182887965321807
server,global,body,0,surface,Grass,1542,1.0,409.0,125.0,1210.75,0.5146945176834257,0.4878848973607038,0.5401211925054842,4,4,0.0025940337224383916,0.0025940337224383916,0.09605708497330764,0.3110813724832822
server,global,body,0,derived_period,to_2009,3553,1.0,339.0,95.0,904.0,0.5204081632653061,0.49166666666666664,0.543046357615894,9,10,0.0025330706445257528,0.0028145229383619475,0.1056443722172189,0.327075610608704
server,global,body,0,derived_period,2010s,4110,1.0,304.0,86.25,1211.5,0.5144813702014733,0.4807692307692308,0.546031746031746,10,11,0.0024330900243309003,0.00267639902676399,0.11129829858772117,0.34424916589598203
server,global,body,0,derived_period,2020s,6377,1.0,466.0,151.0,1174.0,0.508274231678487,0.4838709677419355,0.5313807531380753,5,9,0.0007840677434530343,0.0014113219382154618,0.09031551172344043,0.25770833919548736
server,global,body,10,overall,Overall,13727,10.0,397.0,126.5,1119.5,0.5128755364806867,0.48499422632794453,0.5379093576197116,1,0,7.284912945290303e-05,0.0,0.09784064342321802,0.2788493547148138
server,global,body,10,surface,Hard,8928,10.0,429.0,140.0,1152.25,0.5138146025233254,0.48713380772039466,0.5370463148519261,1,0,0.00011200716845878136,0.0,0.09390332205176277,0.26691119823377346
server,global,body,10,surface,Clay,3294,10.0,306.0,95.0,991.75,0.5085784370984698,0.47619047619047616,0.53901013258094,0,0,0.0,0.0,0.11115479897430441,0.3087766950422249
server,global,body,10,surface,Grass,1505,10.0,438.0,143.0,1241.0,0.5149501661129569,0.4881889763779528,0.5396825396825397,0,0,0.0,0.0,0.09320800725345801,0.2798741319486333
server,global,body,10,derived_period,to_2009,3466,10.0,355.0,103.25,922.0,0.5205479452054794,0.49298219874804383,0.5421121572382244,0,0,0.0,0.0,0.10328654492781325,0.29899563954218217
server,global,body,10,derived_period,2010s,3983,10.0,324.0,101.0,1306.5,0.5145348837209303,0.48142250007395504,0.5452866641081907,1,0,0.00025106703489831785,0.0,0.10804306332929398,0.3100802046183335
server,global,body,10,derived_period,2020s,6278,10.0,478.5,163.0,1192.5,0.5084745762711864,0.48414709567564096,0.53125,0,0,0.0,0.0,0.08912716000633855,0.2416481036321947
server,global,body,25,overall,Overall,13060,25.0,439.0,155.0,1185.0,0.5135135135135135,0.4868421052631579,0.5374700622139081,0,0,0.0,0.0,0.09297527703456637,0.2349540705953464
server,global,body,25,surface,Hard,8544,25.0,467.0,166.0,1202.25,0.5145118733509235,0.4884747679264943,0.5365899677864703,0,0,0.0,0.0,0.09019812326579157,0.22805916605962315
server,global,body,25,surface,Clay,3082,25.0,346.0,122.0,1070.0,0.509090909090909,0.4793885717182342,0.5381177871828673,0,0,0.0,0.0,0.10456671644804727,0.25335009823884275
server,global,body,25,surface,Grass,1434,25.0,477.0,170.25,1314.25,0.5163742914049334,0.4902863754405727,0.5394736842105263,0,0,0.0,0.0,0.08920611281566218,0.2349991737487006
server,global,body,25,derived_period,to_2009,3271,25.0,393.0,134.0,982.0,0.5211267605633803,0.4957261835184103,0.5416911476694085,0,0,0.0,0.0,0.09822041695268574,0.25356741292953644
server,global,body,25,derived_period,2010s,3713,25.0,374.0,136.0,1461.0,0.5159474671669794,0.4845360824742268,0.5446378439079169,0,0,0.0,0.0,0.10078664993672293,0.24874825508616277
server,global,body,25,derived_period,2020s,6076,25.0,516.0,184.0,1225.25,0.508752777139355,0.4851588466113093,0.5309426995130055,0,0,0.0,0.0,0.08582671432563876,0.21733034966178055
