fold,surface,rank,direction,comparison_scope,orientations,direction_share,mean_score,median_score,mean_score_gap_from_rank_1,median_score_gap_from_rank_1,observed_points,observed_server_wins,observed_win_rate
2021,Hard,2,body,global,7,0.3684210526315789,0.5058670144814917,0.5191896942998264,0.031980670900265275,0.02557116470234222,62,36,0.5806451612903226
2021,Hard,2,T,global,7,0.3684210526315789,0.4990209931174826,0.4986038551612322,0.027811465944537667,0.03272689419277297,66,32,0.48484848484848486
2021,Hard,3,wide,surface,42,0.14736842105263157,0.4846783341492997,0.4801559109714695,0.03727273136410886,0.03003970765093389,285,134,0.47017543859649125
2021,Hard,3,body,surface,83,0.2912280701754386,0.4892203405409355,0.487113895887371,0.04656038612619782,0.04197712863937775,961,488,0.5078043704474505
2021,Hard,3,T,surface,160,0.5614035087719298,0.4760032798430977,0.47617534750192825,0.04810042461604504,0.04447775809835541,1251,623,0.4980015987210232
2021,Hard,3,wide,global,2,0.10526315789473684,0.4944350690675996,0.4944350690675996,0.04317392492328262,0.04317392492328262,28,16,0.5714285714285714
2021,Hard,3,body,global,7,0.3684210526315789,0.47529466897567635,0.48275722168127233,0.05004850809430512,0.0603262615033785,129,60,0.46511627906976744
2021,Hard,3,T,global,10,0.5263157894736842,0.46560057878852745,0.45940739087934035,0.06603603684508373,0.0695152849249045,99,50,0.5050505050505051
2021,Clay,1,wide,surface,15,0.39473684210526316,0.5400730451824404,0.5392142327650111,0.0,0.0,145,86,0.593103448275862
2021,Clay,1,body,surface,9,0.23684210526315788,0.5271168817093785,0.5256769374416433,0.0,0.0,114,51,0.4473684210526316
2021,Clay,1,T,surface,14,0.3684210526315789,0.5096286578182895,0.5092010609899409,0.0,0.0,114,58,0.5087719298245614
2021,Clay,1,wide,global,21,0.4375,0.5450596124744245,0.5432110262618737,0.0,0.0,218,130,0.5963302752293578
2021,Clay,1,body,global,23,0.4791666666666667,0.5271692804597581,0.5289983606116799,0.0,0.0,301,160,0.53156146179402
2021,Clay,1,T,global,4,0.08333333333333333,0.5322525198995994,0.5346700377179097,0.0,0.0,28,12,0.42857142857142855
2021,Clay,2,wide,surface,14,0.3684210526315789,0.49109799909723634,0.4886762160817306,0.021723983354226362,0.010929233744735811,173,70,0.4046242774566474
2021,Clay,2,body,surface,14,0.3684210526315789,0.5077418509965043,0.5128825357053322,0.01915566767001494,0.017977518180310736,166,85,0.5120481927710844
2021,Clay,2,T,surface,10,0.2631578947368421,0.5198785629338919,0.5244810430319347,0.022509017758639928,0.013641650290474094,138,67,0.4855072463768116
2021,Clay,2,wide,global,16,0.3333333333333333,0.5002266715732172,0.5026042723417172,0.02418867524857241,0.023951164369984346,138,60,0.43478260869565216
2021,Clay,2,body,global,15,0.3125,0.5133484888304656,0.5098171565276828,0.026964124596280132,0.018213982398560646,142,63,0.44366197183098594
2021,Clay,2,T,global,17,0.3541666666666667,0.5162164977460111,0.5126279400212559,0.025243539994337635,0.01945093262340103,181,97,0.5359116022099447
2021,Clay,3,wide,surface,9,0.23684210526315788,0.48698910397206,0.4982574859501229,0.03516038386349324,0.033516443575163535,131,71,0.5419847328244275
2021,Clay,3,body,surface,15,0.39473684210526316,0.48412646947145177,0.4772408963585434,0.03982897225264074,0.03011809438326407,185,102,0.5513513513513514
2021,Clay,3,T,surface,14,0.3684210526315789,0.47722811457429487,0.48222979676398064,0.05286272872539764,0.050191496897729226,159,69,0.4339622641509434
2021,Clay,3,wide,global,11,0.22916666666666666,0.4847966066989052,0.4801433552886478,0.04822684612147648,0.0468215811965812,117,61,0.5213675213675214
2021,Clay,3,body,global,10,0.20833333333333334,0.5108312016989826,0.507337801405833,0.0362260723170303,0.03409672927849455,94,47,0.5
2021,Clay,3,T,global,27,0.5625,0.46951327397316267,0.47325757575757577,0.06257282495096404,0.05213290092208611,251,132,0.5258964143426295
2021,Grass,1,wide,surface,4,1.0,0.5530986342590132,0.5487682668721954,0.0,0.0,66,40,0.6060606060606061
2021,Grass,1,body,surface,0,0.0,,,,,0,0,
2021,Grass,1,T,surface,0,0.0,,,,,0,0,
2021,Grass,1,wide,global,18,0.5806451612903226,0.5353436834655247,0.5333478189828944,0.0,0.0,173,87,0.5028901734104047
2021,Grass,1,body,global,10,0.3225806451612903,0.5229259165377323,0.5154482812361099,0.0,0.0,130,67,0.5153846153846153
2021,Grass,1,T,global,3,0.0967741935483871,0.5441523591645256,0.5574896377545581,0.0,0.0,35,24,0.6857142857142857
2021,Grass,2,wide,surface,0,0.0,,,,,0,0,
2021,Grass,2,body,surface,3,0.75,0.5099637321765501,0.506842279655401,0.025054711402407153,0.0201186264098715,43,21,0.4883720930232558
2021,Grass,2,T,surface,1,0.25,0.5540033361134278,0.5540033361134278,0.053335870185753365,0.053335870185753365,12,6,0.5
2021,Grass,2,wide,global,11,0.3548387096774194,0.5077315924634879,0.5042756589960269,0.022194776554729633,0.022720799457003726,137,69,0.5036496350364964
2021,Grass,2,body,global,10,0.3225806451612903,0.5162275113744181,0.5078799504030768,0.015427947685447424,0.01627346492008308,153,79,0.5163398692810458
2021,Grass,2,T,global,10,0.3225806451612903,0.5105154125012498,0.5084484104187874,0.024700377043880284,0.01515189139601203,92,52,0.5652173913043478
2021,Grass,3,wide,surface,0,0.0,,,,,0,0,
2021,Grass,3,body,surface,1,0.25,0.5266053391053391,0.5266053391053391,0.08073386719384201,0.08073386719384201,6,0,0.0
2021,Grass,3,T,surface,3,0.75,0.48595623894134504,0.4805080482897384,0.049062204637612204,0.027010748702742837,46,23,0.5
